"cell","hl","edge","e3","share_k3","rho_hat","R"
"H1_k15",0.066,0.054,0.08,0.202,0.73,500
"H2_k33",0.052,0.03,0.06,0.158,0.72,500
"H3_k40_lam50",0.13,0.024,0.138,0.036,0.7,500
"H4_k40_lam1000",0.034,0.056,0.062,0.31,0.73,500
"H5_k25_ar03",0.688,0.076,0.872,0.056,0.7,500
"H6_k25_weak",0.054,0.028,0.03,0.106,0.69,500
"H7_k25_strong",0.082,0.08,0.132,0.282,0.74,500
"H8_n800_k25",0.122,0.074,0.168,0.21,0.74,500
"H9_k25_G20",0.044,0.056,0.102,0.2,0.73,500
"A_t3",0.05,0.05,0.05,1,0.92,500
"A_binary",0.052,0.058,0.058,1,0.94,500
"k10_t3",0.112,0.08,0.164,0.178,0.72,500
"k10_binary",0.064,0.074,0.094,0.172,0.73,500
"k25_t3",0.066,0.044,0.084,0.194,0.72,500
"k25_binary",0.054,0.044,0.072,0.218,0.72,500
"k40_t3",0.076,0.05,0.094,0.16,0.71,500
"k40_binary",0.056,0.044,0.078,0.168,0.72,500
