"rep","cell","S_dec","tr0","tr2","tr5","v2","meanv","a_hat","s_hat","rho_hat","c_hat","sd_eta0","sd_eh","sd_et","est_signal_sd","norm_bh","norm_bt","df_M","p0","p2","p5","pcalm"
1,"B_k25_ar07",5.37480060285313,6.25561647223258,4.42549149403449,4.00611683753782,5.37480060285313,"0.08 -0.42 0.32 -1.42 1.09 -0.37 1.12 -0.37 0.37 -0.46",0.420966919969818,0.369082874031684,0.75192410202144,4.91938854855307,2.39885759576019,0.581244028970652,1.67050489684818,2.07089984541918,0.286740606360887,2.63392578793292,15.1744475681532,0.550148236668184,0.285028651333241,0.217231065842489,0.255998903671429
2,"B_k25_ar07",3.37900355060809,5.90942478235387,4.01474708519956,3.39165918256643,3.37900355060809,"-0.28 0 0.57 -0.82 -0.61 0.94 0.39 0.4 0.15 -0.84",0.346472090162509,0.364441717784431,0.689013307111169,6.91144931880697,2.20161902091808,0.525650830660601,1.69883138003768,2.3946242915393,0.28469218255086,2.76412851535023,15.0626493725955,0.802741741575838,0.56410532101862,0.435315582942633,0.480641055393398
3,"B_k25_ar07",5.39829797602425,6.07830896012681,4.33752403026271,3.94361378433327,5.39829797602425,"0.34 -0.85 0.95 1.14 -0.94 -0.4 -0.95 0.17 0 0.6",0.266092309159254,0.354442627429464,0.60037586586302,7.27442422224725,2.30817021764782,0.462031888549173,1.59681047805461,1.93566833910178,0.251874188141034,2.88272948829964,15.3045850924299,0.524774638774425,0.267654164474757,0.204229260403536,0.242170736374029
4,"B_k25_ar07",1.82265023775158,6.11660426187286,4.16959429051902,3.65213235635803,1.82265023775158,"0.27 0.14 -0.38 -0.34 0.43 -0.29 -0.66 0.86 0.12 -0.13",0.421126010791451,0.382007245019877,0.740670242159857,5.38660171849372,2.2535917435329,0.59118349156777,1.708055811626,2.26843809343163,0.29563213049749,2.79189214969407,15.0071688899862,0.967252272899845,0.899174827723295,0.856767367895908,0.876661994081841
5,"B_k25_ar07",5.56129336478515,5.82785818104116,4.105609725936,3.69914630205882,5.56129336478515,"0.12 -0.54 -0.77 0.67 1.06 -1.19 0.19 -0.29 1.16 -0.43",0.403995190886723,0.359567303723392,0.746986401540523,5.14847840400186,2.2993583897874,0.562488374341377,1.66729758096536,2.0799605156009,0.284921334928172,2.64608483020021,15.1444257073983,0.469602144527811,0.210774853462353,0.149960640253562,0.182658938529064
6,"B_k25_ar07",4.3445986570188,5.97912080821655,4.27677123510114,3.86580222335052,4.3445986570188,"0.16 -0.17 -0.15 -0.69 1.18 -1.39 0.61 0.12 0.3 0.05",0.354971378088561,0.355087089759072,0.706991541137643,5.62578400005899,2.3339450092343,0.523027113030172,1.63335930744929,1.99699229932952,0.274301044256816,2.72368931761445,15.224927834021,0.668051517396334,0.419972841681171,0.342240377180035,0.38688551282656
7,"B_k25_ar07",4.37048640680159,6.1311205987116,4.24628011852849,3.55944194216992,4.37048640680159,"0.46 0.27 -0.36 -1.07 -0.56 -0.48 1.33 0.57 -0.32 0.24",0.421609746646916,0.388936077995948,0.735013810863354,5.75616426286606,2.42115106321985,0.596338005512073,1.74528415416451,2.42685495652499,0.296169707122389,2.73213451709997,15.1804954824142,0.680243981738424,0.409230813143269,0.27721341856957,0.319330777524383
8,"B_k25_ar07",1.64179663060686,5.89101591665788,4.15386660921869,3.88966446838646,1.64179663060686,"-0.34 0.61 -0.35 0.07 -0.38 -0.18 0.77 0.27 -0.42 -0.09",0.356630453678075,0.366946031200139,0.696955179474388,5.41248478572445,2.28140183736535,0.531634425912888,1.6013880109768,1.93025690465859,0.270956255039388,2.52559987956811,15.1562825277095,0.973752695701858,0.923960655707617,0.908536200755957,0.922240712685062
9,"B_k25_ar07",2.68031039804123,5.97215074859556,4.20085032388438,3.74122816221399,2.68031039804123,"0.26 -1.11 -0.21 0.36 0.47 0.07 0.76 -0.62 -0.09 0.07",0.41453585993918,0.370476064384931,0.745620563063488,5.15422587942686,2.3433316295965,0.577727944865366,1.67804589522627,2.13661145724899,0.287904197269277,2.65701141591206,15.1207247370764,0.893053997107373,0.745760168304093,0.676054061138573,0.712190446453665
10,"B_k25_ar07",4.77852737771875,5.8702535793015,4.11120038605002,3.56427478863089,4.77852737771875,"-0.39 1.12 -1.06 -1 0.44 0.94 -0.3 0.24 -0.1 0.09",0.473300354513036,0.386376767966993,0.774653878478981,4.82754608099946,2.27725514464189,0.633421882928296,1.73600687302383,2.28487927156506,0.299832937741614,2.5042076121349,15.3005981827736,0.59020942768096,0.317067440759937,0.217719514386447,0.256490247428395
