"rep","cell","pp_hl"
1,"H5_k25_ar03",0.325
2,"H5_k25_ar03",0.665
3,"H5_k25_ar03",0.01
4,"H5_k25_ar03",0.795
5,"H5_k25_ar03",0.305
6,"H5_k25_ar03",0.58
7,"H5_k25_ar03",0.33
8,"H5_k25_ar03",0.14
9,"H5_k25_ar03",0.855
10,"H5_k25_ar03",0.185
11,"H5_k25_ar03",0.585
12,"H5_k25_ar03",0.06
13,"H5_k25_ar03",0.25
14,"H5_k25_ar03",0.765
15,"H5_k25_ar03",0.755
16,"H5_k25_ar03",0.215
17,"H5_k25_ar03",0.285
18,"H5_k25_ar03",0.66
19,"H5_k25_ar03",0.11
20,"H5_k25_ar03",0.24
21,"H5_k25_ar03",0.095
22,"H5_k25_ar03",0.015
23,"H5_k25_ar03",0.105
24,"H5_k25_ar03",0.47
25,"H5_k25_ar03",0.155
26,"H5_k25_ar03",0.665
27,"H5_k25_ar03",0.265
28,"H5_k25_ar03",0.46
29,"H5_k25_ar03",0.17
30,"H5_k25_ar03",0.245
31,"H5_k25_ar03",0.23
32,"H5_k25_ar03",0.09
33,"H5_k25_ar03",0.215
34,"H5_k25_ar03",0.02
35,"H5_k25_ar03",0.875
36,"H5_k25_ar03",0.23
37,"H5_k25_ar03",0.44
38,"H5_k25_ar03",0.01
39,"H5_k25_ar03",0.1
40,"H5_k25_ar03",0.205
41,"H5_k25_ar03",0.12
42,"H5_k25_ar03",0.275
43,"H5_k25_ar03",0.005
44,"H5_k25_ar03",0.355
45,"H5_k25_ar03",0.84
46,"H5_k25_ar03",0.145
47,"H5_k25_ar03",0.37
48,"H5_k25_ar03",0.38
49,"H5_k25_ar03",0.055
50,"H5_k25_ar03",0.42
51,"H5_k25_ar03",0.835
52,"H5_k25_ar03",0.18
53,"H5_k25_ar03",0.185
54,"H5_k25_ar03",0.475
55,"H5_k25_ar03",0.185
56,"H5_k25_ar03",0.19
57,"H5_k25_ar03",0.155
58,"H5_k25_ar03",0.31
59,"H5_k25_ar03",0.05
60,"H5_k25_ar03",0.375
61,"H5_k25_ar03",0.045
62,"H5_k25_ar03",0.745
63,"H5_k25_ar03",0.315
64,"H5_k25_ar03",0.095
65,"H5_k25_ar03",0.12
66,"H5_k25_ar03",0.255
67,"H5_k25_ar03",0.11
68,"H5_k25_ar03",0.14
69,"H5_k25_ar03",0.04
70,"H5_k25_ar03",0.04
71,"H5_k25_ar03",0.01
72,"H5_k25_ar03",0.635
73,"H5_k25_ar03",0.16
74,"H5_k25_ar03",0.1
75,"H5_k25_ar03",0.455
76,"H5_k25_ar03",0.485
77,"H5_k25_ar03",0.085
78,"H5_k25_ar03",0.105
79,"H5_k25_ar03",0.755
80,"H5_k25_ar03",0.315
81,"H5_k25_ar03",0.86
82,"H5_k25_ar03",0.32
83,"H5_k25_ar03",0.215
84,"H5_k25_ar03",0.09
85,"H5_k25_ar03",0.195
86,"H5_k25_ar03",0.76
87,"H5_k25_ar03",0.755
88,"H5_k25_ar03",0.505
89,"H5_k25_ar03",0.04
90,"H5_k25_ar03",0.79
91,"H5_k25_ar03",0.51
92,"H5_k25_ar03",0.18
93,"H5_k25_ar03",0.145
94,"H5_k25_ar03",0.29
95,"H5_k25_ar03",0.18
96,"H5_k25_ar03",0.1
97,"H5_k25_ar03",0.675
98,"H5_k25_ar03",0.24
99,"H5_k25_ar03",0.005
100,"H5_k25_ar03",0.065
1,"H8_n800_k25",0.9
2,"H8_n800_k25",0.67
3,"H8_n800_k25",0.125
4,"H8_n800_k25",0.475
5,"H8_n800_k25",0.085
6,"H8_n800_k25",0.615
7,"H8_n800_k25",0.09
8,"H8_n800_k25",0.28
9,"H8_n800_k25",0.85
10,"H8_n800_k25",0.585
11,"H8_n800_k25",0.765
12,"H8_n800_k25",0.98
13,"H8_n800_k25",0.79
14,"H8_n800_k25",0.56
15,"H8_n800_k25",0.365
16,"H8_n800_k25",0.81
17,"H8_n800_k25",0.51
18,"H8_n800_k25",0.8
19,"H8_n800_k25",0.02
20,"H8_n800_k25",0.055
21,"H8_n800_k25",0.825
22,"H8_n800_k25",0.005
23,"H8_n800_k25",0.255
24,"H8_n800_k25",0.99
25,"H8_n800_k25",0.665
26,"H8_n800_k25",0.285
27,"H8_n800_k25",0.665
28,"H8_n800_k25",0.2
29,"H8_n800_k25",0.02
30,"H8_n800_k25",0.92
31,"H8_n800_k25",0.265
32,"H8_n800_k25",0.785
33,"H8_n800_k25",0.49
34,"H8_n800_k25",0.45
35,"H8_n800_k25",0.705
36,"H8_n800_k25",0.325
37,"H8_n800_k25",0.56
38,"H8_n800_k25",0.515
39,"H8_n800_k25",0.035
40,"H8_n800_k25",0.3
41,"H8_n800_k25",0.195
42,"H8_n800_k25",0.725
43,"H8_n800_k25",0.915
44,"H8_n800_k25",0.76
45,"H8_n800_k25",0.3
46,"H8_n800_k25",0.34
47,"H8_n800_k25",0.715
48,"H8_n800_k25",0.625
49,"H8_n800_k25",0.535
50,"H8_n800_k25",0.2
51,"H8_n800_k25",0.805
52,"H8_n800_k25",0.35
53,"H8_n800_k25",0.5
54,"H8_n800_k25",0.015
55,"H8_n800_k25",0.4
56,"H8_n800_k25",0.695
57,"H8_n800_k25",0.22
58,"H8_n800_k25",0.625
59,"H8_n800_k25",0.955
60,"H8_n800_k25",0.915
61,"H8_n800_k25",0.56
62,"H8_n800_k25",0.515
63,"H8_n800_k25",0.775
64,"H8_n800_k25",0.165
65,"H8_n800_k25",0.68
66,"H8_n800_k25",0.65
67,"H8_n800_k25",0.175
68,"H8_n800_k25",0.065
69,"H8_n800_k25",0.59
70,"H8_n800_k25",0.9
71,"H8_n800_k25",0.175
72,"H8_n800_k25",0.38
73,"H8_n800_k25",0.67
74,"H8_n800_k25",0.725
75,"H8_n800_k25",0.695
76,"H8_n800_k25",0.07
77,"H8_n800_k25",0.595
78,"H8_n800_k25",0.055
79,"H8_n800_k25",0.595
80,"H8_n800_k25",0.535
81,"H8_n800_k25",0.12
82,"H8_n800_k25",0.75
83,"H8_n800_k25",0.425
84,"H8_n800_k25",0.935
85,"H8_n800_k25",0.015
86,"H8_n800_k25",0.475
87,"H8_n800_k25",0.185
88,"H8_n800_k25",0.185
89,"H8_n800_k25",0.33
90,"H8_n800_k25",0.005
91,"H8_n800_k25",0.135
92,"H8_n800_k25",0.355
93,"H8_n800_k25",0.24
94,"H8_n800_k25",0.38
95,"H8_n800_k25",0.44
96,"H8_n800_k25",0.115
97,"H8_n800_k25",0.4
98,"H8_n800_k25",0.93
99,"H8_n800_k25",0.545
100,"H8_n800_k25",0.125
