"rep","cell","kappa","hbar","sd_eh","law_obs","tr5","normD2","g_obs","nchanged","floor_est","S_dec","v2","p_none","p_kappa","p_obs","p_obs_sh","p_law"
1,"A_k01",0.01,0.00746736119165835,0.34412237121866,0.235439055860854,7.54973998762768,1.99406561787047,0.264123747458626,52,1.04,2.69840471059825,2.69840471059825,0.943973268500958,0.944369029032643,0.972735384216823,0.960874051459335,0.9452422070317
2,"A_k01",0.01,0.00741493022405115,0.326560137464131,0.257785093857508,7.58036538597592,2.62706237235765,0.34656144375545,54,1.08,6.59408712155375,6.59408712155375,0.541384969284191,0.543196382171971,0.740594610820471,0.672783335069912,0.547775793563767
3,"A_k01",0.01,0.00743356228759222,0.493319214461191,0.113529287286749,7.04413051587123,1.15471827109947,0.1639263026853,34,0.68,8.24444858096553,8.24444858096553,0.312094460137621,0.313869164209781,0.428412003175719,0.361278759860794,0.314864227417965
4,"A_k01",0.01,0.00743697857900885,0.479527819316944,0.120263946348781,7.1392484392198,1.32175677682025,0.185139484649268,38,0.76,10.1512060000375,10.1512060000375,0.181138431047662,0.182553029640856,0.293867227648742,0.228470948617453,0.183478898292895
5,"A_k01",0.01,0.00727184574027133,0.420069506800771,0.149836288054445,7.26741600062034,2.43015031796276,0.334389873616059,40,0.8,3.71782938855077,3.71782938855077,0.849405645280948,0.850310684785369,0.930882299038291,0.911856437996406,0.851263257384441
6,"A_k01",0.01,0.00736775619155572,0.399180370294719,0.170334312936869,7.34451557707446,3.5561727184795,0.484194319034453,44,0.88,8.85171747483308,8.85171747483308,0.290587211589024,0.29232882815167,0.591889801660691,0.52934052248638,0.294665047731558
7,"A_k01",0.01,0.0073682436799535,0.371067913852317,0.197147447959752,7.38414687922077,6.19037826712909,0.838333577105435,58,1.16,4.93534994664223,4.93534994664223,0.720803419347704,0.722215037102919,0.94109904370015,0.923744524913806,0.724611756638442
8,"A_k01",0.01,0.00738635058691063,0.363315263991465,0.206662914686644,7.44644402985446,2.01473903705662,0.2705639133228,42,0.84,6.76186517769419,6.76186517769419,0.50841860887167,0.510263672815284,0.679471367543981,0.616911587758008,0.513645725755015
9,"A_k01",0.01,0.00734976749922151,0.450389844478913,0.133149649482693,7.20353967084122,1.56759890021342,0.21761508533906,40,0.8,11.2962291198068,11.2962291198068,0.128307106241543,0.129474332456118,0.243962893081427,0.183002452933583,0.13044675841467
10,"A_k01",0.01,0.00742104589570882,0.357755960034617,0.215142635338293,7.43826326138197,2.75556402609515,0.370457985858273,42,0.84,8.15789129777478,8.15789129777478,0.361402411504788,0.363247389668471,0.602589608424968,0.539225337404074,0.366852325464499
