"cell","hl","edge","e2","e3","e2_noinf","tau1","tau2","tau3","tau4","kappa","rho_hat","deg_final","est_sd","true_sd","tdeg1","tdeg2","tdeg3","tdeg4","set","R"
"A_binary",0.052,0.058,0.064,0.058,0.064,0.058,0.058,0.058,0.058,0.01,0.936829633581596,3,0.796861315899445,0.793725393319377,3,3,3,3,"held-out",500
"A_lam100",0.044,0.05,0.048,0.05,0.048,0.05,0.05,0.05,0.05,0.01,0.93446452975591,3,0.786540132643288,0.793725393319377,3,3,3,3,"calibration",500
"A_lam137",0.036,0.04,0.042,0.04,0.042,0.04,0.04,0.04,0.04,0.01,0.929559411107824,3,0.786537283525669,0.793725393319377,3,3,3,3,"calibration",500
"A_lam200",0.044,0.048,0.038,0.048,0.04,0.048,0.048,0.048,0.048,0.01,0.921458228709627,3,0.786395456632713,0.793725393319377,3,3,3,3,"calibration",500
"A_t3",0.05,0.05,0.046,0.05,0.046,0.05,0.05,0.05,0.05,0.01,0.919989839832928,3,0.782394196402561,0.793725393319377,3,3,3,3,"held-out",500
"B_k10",0.058,0.052,0.04,0.07,0.042,0.07,0.07,0.052,0.04,0.1,0.731755830326725,2.22,2.23748216820984,2.31,2.996,2.89,2.22,2.01,"calibration",500
"B_k25_lam1000",0.058,0.064,0.03,0.102,0.03,0.102,0.1,0.064,0.034,0.25,0.726741229552171,2.232,1.94357973974084,2.31,2.98,2.824,2.232,2.03,"calibration",500
"B_k25_lam416",0.056,0.044,0.03,0.062,0.032,0.062,0.064,0.044,0.032,0.25,0.726362826118636,2.2,2.09657871620905,2.31,2.992,2.848,2.2,2.012,"calibration",500
"B_k25_lam50",0.072,0.038,0.018,0.068,0.022,0.068,0.068,0.038,0.022,0.25,0.761764880517752,2.466,2.79796539686671,2.31,3,2.99,2.466,2.038,"calibration",500
"B_k40",0.044,0.032,0.022,0.05,0.03,0.048,0.04,0.032,0.024,0.4,0.711830618288761,2.166,1.98837276090659,2.31,2.972,2.714,2.166,2.012,"calibration",500
"H1_k15",0.066,0.054,0.028,0.08,0.028,0.08,0.072,0.054,0.03,0.15,0.728953847587507,2.202,2.17609004519458,2.31,2.994,2.858,2.202,2.01,"held-out",500
"H2_k33",0.052,0.03,0.02,0.06,0.02,0.06,0.056,0.03,0.02,0.33,0.71514190516343,2.158,2.00875707413657,2.31,2.986,2.772,2.158,2.014,"held-out",500
"H3_k40_lam50",0.13,0.024,0.022,0.138,0.022,0.138,0.092,0.024,0.022,0.4,0.695905755969612,2.036,3.64529223722595,2.31,2.978,2.652,2.036,2.002,"held-out",500
"H4_k40_lam1000",0.034,0.056,0.022,0.062,0.024,0.062,0.062,0.056,0.036,0.4,0.73377417628305,2.31,1.74924976108474,2.31,2.98,2.8,2.31,2.072,"held-out",500
"H5_k25_ar03",0.688,0.076,0.022,0.872,0.022,0.856,0.61,0.076,0.024,0.25,0.69706554087606,2.056,2.06069562216283,2.31,2.96,2.644,2.056,2.002,"held-out",500
"H6_k25_weak",0.054,0.028,0.028,0.03,0.03,0.026,0.026,0.028,0.028,0.25,0.688547135721148,2.106,1.42934691104738,1.5,2.888,2.57,2.106,2.006,"held-out",500
"H7_k25_strong",0.082,0.08,0.032,0.132,0.032,0.132,0.128,0.08,0.038,0.25,0.739490262723061,2.282,2.5882820821952,3,2.998,2.91,2.282,2.014,"held-out",500
"H8_n800_k25",0.122,0.074,0.034,0.168,0.036,0.168,0.166,0.074,0.034,0.25,0.738369194719621,2.21,2.06282003602073,2.31,3,2.952,2.21,2.002,"held-out",500
"H9_k25_G20",0.044,0.056,0.022,0.102,0.024,0.102,0.098,0.056,0.026,0.25,0.726362826118636,2.2,2.09657871620905,2.31,2.992,2.848,2.2,2.012,"held-out",500
"k10_binary",0.064,0.074,0.056,0.094,0.058,0.094,0.084,0.074,0.056,0.1,0.729121918597579,2.172,2.22925698474741,2.31,2.996,2.884,2.172,2.012,"held-out",500
"k10_t3",0.112,0.08,0.042,0.164,0.046,0.162,0.156,0.08,0.048,0.1,0.722921064208793,2.178,2.19021999014019,2.31,2.986,2.806,2.178,2.022,"held-out",500
"k25_binary",0.054,0.044,0.032,0.072,0.032,0.072,0.07,0.044,0.034,0.25,0.724022495357495,2.218,2.0983502336675,2.31,2.986,2.828,2.218,2.008,"held-out",500
"k25_t3",0.066,0.044,0.032,0.084,0.038,0.084,0.072,0.044,0.032,0.25,0.717157685978128,2.194,2.06774540209767,2.31,2.968,2.772,2.194,2.018,"held-out",500
"k40_binary",0.056,0.044,0.03,0.078,0.03,0.08,0.084,0.044,0.038,0.4,0.716404717479303,2.168,1.99019771126959,2.31,2.968,2.756,2.168,2.022,"held-out",500
"k40_t3",0.076,0.05,0.03,0.094,0.034,0.094,0.082,0.05,0.032,0.4,0.709036987815713,2.16,1.96351810463474,2.31,2.958,2.694,2.16,2.024,"held-out",500
