"rep","cell","a_hat","a_or","s_hat","s_or","rho_hat","rho_or"
1,"B_k25",0.420966919969818,0.38982050515703,0.369082874031684,0.401839880265114,0.75192410202144,0.696290894569007
2,"B_k25",0.346472090162509,0.331976914863441,0.364441717784431,0.377693000889607,0.689013307111169,0.660187410441447
3,"B_k25",0.266092309159254,0.24380760538337,0.354442627429464,0.370125039263805,0.60037586586302,0.550095576413015
4,"B_k25",0.421126010791451,0.407655101374453,0.382007245019877,0.396350817504116,0.740670242159857,0.71697780454184
5,"B_k25",0.403995190886723,0.377609250077318,0.359567303723392,0.38718472906683,0.746986401540523,0.698198843121282
6,"B_k25",0.354971378088561,0.333366901684075,0.355087089759072,0.375443776665987,0.706991541137643,0.663962206910958
7,"B_k25",0.421609746646916,0.386370907029766,0.388936077995948,0.423961759402358,0.735013810863354,0.673580141448933
8,"B_k25",0.356630453678075,0.331952747008285,0.366946031200139,0.389412434390347,0.696955179474388,0.648728071262857
9,"B_k25",0.41453585993918,0.411047188452994,0.370476064384931,0.374343027613113,0.745620563063488,0.739345532482888
10,"B_k25",0.473300354513036,0.448940783151568,0.386376767966993,0.414430218046467,0.774653878478981,0.734784403940638
11,"B_k25",0.381054086461838,0.358153854110781,0.381204087902276,0.40279596600297,0.706967619058192,0.664480939827349
12,"B_k25",0.358874980539116,0.335378699230911,0.354023991601937,0.376358029526276,0.711901875375612,0.665292198929135
13,"B_k25",0.24672197977991,0.24979986826505,0.350091990660983,0.347902519459477,0.576056913380554,0.583243297593511
14,"B_k25",0.433899954711997,0.40943215872351,0.387949660339171,0.413690001159513,0.745477428597417,0.703439651365911
15,"B_k25",0.419682708203233,0.413598505016793,0.380905102749268,0.387502967102323,0.740488384409503,0.729753413204151
16,"B_k25",0.412572319275578,0.417018961633028,0.380348168816109,0.375467486998152,0.735236571356228,0.743160840455715
17,"B_k25",0.352399907614,0.370137446428218,0.386142144960368,0.369174378515827,0.674097571646229,0.708027296323518
18,"B_k25",0.425023259576177,0.426825429593584,0.392470215801425,0.390509531412778,0.734681912321429,0.737797087043954
19,"B_k25",0.448852171485333,0.428821352522252,0.38389007907313,0.406142970244296,0.759959198289475,0.726044680131101
20,"B_k25",0.434527370526954,0.419355749756177,0.372759858450545,0.389749538749661,0.758990860923142,0.732490524485309
21,"B_k25",0.403565898020267,0.389137231121871,0.351788205589918,0.367685451156123,0.753808326118724,0.726857463084558
22,"B_k25",0.512199544176956,0.470544605251069,0.359755132363637,0.412746778044572,0.818318594494785,0.751768337933406
23,"B_k25",0.463432772681781,0.444733820318128,0.38455962994906,0.406039250377748,0.769554324233016,0.738503737182806
24,"B_k25",0.351828306560564,0.339306595068241,0.375667214107548,0.387014273116377,0.683569081040308,0.659240581433396
25,"B_k25",0.461426764374119,0.412297947676539,0.375119270872034,0.42853182915864,0.775941120313033,0.693325476810684
26,"B_k25",0.36582852654601,0.35759551234014,0.39799888170465,0.405412222592227,0.676725401477549,0.661495616374563
27,"B_k25",0.433258022497545,0.423552630754854,0.383768558765545,0.394454040080856,0.748566107230026,0.731797514523794
28,"B_k25",0.362359690213785,0.353149084185648,0.363588221377306,0.372540822132261,0.705909124280711,0.687966038967935
29,"B_k25",0.439125717148376,0.447374668965556,0.358080963353409,0.347720113518242,0.774997415835676,0.789555698559773
30,"B_k25",0.337948042280274,0.324702703407209,0.346189253692728,0.358641928744321,0.698538195820166,0.671160096343728
31,"B_k25",0.334440626666623,0.305075184123205,0.370560522575427,0.395088301128658,0.670000239056738,0.611171101818848
32,"B_k25",0.431743126852752,0.424679771074983,0.423977845340722,0.431052703232509,0.713494079408616,0.701821253103465
33,"B_k25",0.318968406958305,0.317159707356768,0.370735130003411,0.372283630160573,0.652199337194484,0.64850106283385
34,"B_k25",0.411867534994492,0.39565162383739,0.359025283708562,0.376820664612876,0.753807832021903,0.724129161587831
35,"B_k25",0.494567121009126,0.478879520421272,0.363352774190416,0.383791975705876,0.805883882302001,0.780321357158908
36,"B_k25",0.466640662338004,0.445368371315481,0.406535956386593,0.429734808241325,0.753995968894324,0.719624292838988
37,"B_k25",0.365981974024795,0.351825564559324,0.371326664942128,0.384766253107833,0.701962578389965,0.674810231022025
38,"B_k25",0.494818433636724,0.467339692648009,0.396885110994261,0.428901719827856,0.780075811709424,0.736755879135405
39,"B_k25",0.377921736965119,0.362930170447672,0.413748207460508,0.426959143041042,0.674416924118052,0.647663855454681
40,"B_k25",0.331145043630134,0.319802653740523,0.369853015487783,0.379703246821422,0.667045336124263,0.64419767941943
41,"B_k25",0.370523805470815,0.370093720102482,0.383134713389917,0.383550175812309,0.695177505003689,0.694370577975301
42,"B_k25",0.458011654995552,0.430248596418321,0.394379233879008,0.424494760281941,0.757784911378328,0.71185065041778
