"cell","dep_deg","rel","hl","e2","e3","edge_new","edge_old","rho_hat","share3_new","share3_old","R"
"A_k01",2,1,0.968,0.998,0.998,0.998,0.998,0.894,1,0.988,500
"B_k10",2,1,0.642,0.914,0.878,0.916,0.916,0.695,0.148,0.148,500
"B_k25",2,1,0.426,0.696,0.61,0.69,0.69,0.664,0.096,0.096,500
"A_k01",3,1,0.354,0.048,0.542,0.542,0.496,0.842,1,0.884,500
"B_k10",3,1,0.046,0.028,0.028,0.024,0.024,0.646,0.118,0.118,500
"B_k25",3,1,0.032,0.032,0.018,0.03,0.03,0.578,0.042,0.042,500
"A_k01",2,1.5,0.996,1,1,1,1,0.854,1,0.924,500
"B_k10",2,1.5,0.912,0.984,0.972,0.98,0.98,0.645,0.116,0.116,500
"B_k25",2,1.5,0.542,0.85,0.716,0.846,0.846,0.581,0.054,0.054,500
"A_k01",3,1.5,0.498,0.068,0.666,0.666,0.372,0.702,1,0.444,500
"B_k10",3,1.5,0.058,0.042,0.04,0.034,0.034,0.488,0.168,0.168,500
"B_k25",3,1.5,0.034,0.038,0.01,0.024,0.024,0.456,0.168,0.168,500
