"rep","cell","grouping","prev","deg","hl","edge","S_p","tr_p","S_d","tr_d","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","pb1","pb2","pb3","pb4","pb5","pb6","pb7","pb8","pb9","pb10"
1,"k25_prev50","fitted",0.48,2,0.480641055393398,0.202405666403066,0.629197942991282,0.380908731832169,3.37900355060809,3.39165918256643,-0.28015240358388,-0.000469806290185559,0.569353464042159,-0.815782613349826,-0.61054848563742,0.944216351499555,0.391676011413202,0.404335926874512,0.152619282142977,-0.840445753563246,0.280378332248981,0.343196493772573,0.383262651757556,0.419991888427209,0.454615468137123,0.492994029149662,0.536902125777458,0.571615034747392,0.621999009940787,0.69504496604126
1,"k25_prev50","heavyx5",0.48,2,0.245538843926437,0.11840120280437,0.951773343518632,0.386426267912667,4.78756450425043,3.51393012523923,-0.891730591553111,0.64875009872795,0.865199009932186,-1.24782231171238,0.0469142255231092,0.19607411731274,0.716478629304703,0.376795422606089,-0.0646548706112493,-0.752151476942628,0.283138283277274,0.341511525847822,0.383961580519573,0.422002660407997,0.451909116446734,0.493873605892667,0.538936638769013,0.568889508400606,0.621587800038906,0.694189280399407
1,"k25_prev50","heavyx20",0.48,2,0.0414697945754041,0.134398738308214,0.884589852969306,0.390536731049737,7.52556276743027,3.51881362772105,-0.891730591553111,0.700178214895284,0.962945901762378,-1.74056363067219,0.756742766890947,-0.431615427178973,0.848909642298566,0.486085521119328,-0.0411481913087757,-0.752151476942628,0.283138283277274,0.342705117953076,0.385028284213812,0.421155197014526,0.452275417124413,0.492601719608973,0.539480153965576,0.568219992154198,0.621206554288745,0.694189280399407
1,"k25_prev50","pc1",0.48,2,0.121733446192429,0.181184519481714,1.48646340670366,0.846956382179257,5.79987910554474,3.44272753667655,-1.10095610177591,0.203063438786013,-0.776393646188346,0.840497044337997,0.850655813072922,0.456063940359181,1.00826480753326,0.100810776771827,-0.774275041599178,-0.824284797309442,0.480222859437933,0.47817767461942,0.504505525258774,0.503064953719179,0.497741631208776,0.442982696508455,0.449899689470656,0.481714430749439,0.473569642576022,0.488120896451347
2,"k25_prev50","fitted",0.445,2,0.242170736374029,0.275588696994899,0.575045629533459,0.472623298919067,5.39829797602425,3.94361378433327,0.337873681610027,-0.848531014612713,0.954306803015628,1.14303674991378,-0.940430106112311,-0.399190772375703,-0.95443260906782,0.174356640151367,-0.00472610070786539,0.601476305541114,0.267396633284538,0.331602279383302,0.366973588309462,0.392751540788147,0.420342369970846,0.450484360390984,0.483973734052055,0.528221413760691,0.563841534259403,0.644412545800572
2,"k25_prev50","heavyx5",0.445,2,0.0503038394291637,0.262708269564281,0.608730540536535,0.474785140279583,8.2274269417044,4.00237167314023,0.182311538726856,-0.592563867004331,1.744582499661,0.356291856608505,-0.787802646707169,-0.328867079534581,-1.70353184208986,0.822787821521507,-0.195511531831307,0.571431239403049,0.267607547126666,0.332595427826248,0.368775712950997,0.392435214467772,0.419788828155015,0.45041947269877,0.482928998490318,0.528671546887216,0.562806109766778,0.64397114163022
2,"k25_prev50","heavyx20",0.445,2,0.116432526961039,0.278153745276971,0.566119977788419,0.470253119958613,6.79477015037866,3.98372675161696,0.198781777857949,-0.462347780322487,1.57901014466175,0.380482955478282,-1.11500262220688,-0.200205070322122,-1.36054029260457,0.701873933978334,-0.155802523419069,0.502161246845609,0.2684306656281,0.333375931321596,0.367821509823953,0.391785795598033,0.421527597988033,0.450583400003944,0.484269190345664,0.526236688666687,0.562816546588733,0.643152674035255
2,"k25_prev50","pc1",0.445,2,0.0240294844231118,0.240422192869091,1.24289388215798,0.850922054294881,8.94060769737552,3.81657739021498,0.424811755990547,0.644619649517648,1.33595654958461,-1.14956359765967,-1.51697085439513,-1.07855495422708,-0.493632994863811,0.550773861729457,1.09123591302561,0.189813721131357,0.435032057302411,0.434214527872638,0.446353587544175,0.457467048808123,0.440848107325652,0.415898893975642,0.441736154209434,0.445134226099419,0.482789318402903,0.450526078459603
3,"k25_prev50","fitted",0.4975,2,0.876661994081841,0.710907048514133,0.0670922923914684,0.410143430719393,1.82265023775158,3.65213235635803,0.271459562167867,0.139252714369211,-0.379951643868244,-0.335137919686006,0.426090520800788,-0.289443751061383,-0.656818038162644,0.863579827105398,0.121337702810372,-0.125116906943426,0.266004016773415,0.344136524632168,0.394232020701238,0.432884248535126,0.473121503761264,0.512871493480238,0.558568380475876,0.602860120389241,0.663140910853731,0.727180780397703
3,"k25_prev50","heavyx5",0.4975,2,0.835595590523269,0.60870231824324,0.119047176618614,0.413378589319097,2.03655573445967,3.64117509421885,0.136071990032647,0.540408097510562,-0.361009506692803,-0.445765806873905,0.306433148571025,0.0991019957726858,-0.81748186903997,0.695981433581472,-0.313548285316359,0.20557832619078,0.266319459690993,0.344658999097084,0.395536703055759,0.432673671983773,0.47384785974765,0.510981647121505,0.559357662252605,0.601664788730497,0.66386483384672,0.726094374473414
