"cell","kappa","prev","grouping","size_hl","size_edge","ratio_d","ratio_e","ncsh_e","norm_m","reps"
"k25_prev50",0.25,0.498,"fitted",0.056,0.044,1.10870891736695,1.12094311627222,0.241367017025074,0.76927705158399,500
"k25_prev50",0.25,0.498,"heavyx5",0.04,0.04,1.03655221212177,1.0842731092851,0.12802366240618,0.556482549217974,500
"k25_prev50",0.25,0.498,"heavyx20",0.046,0.042,1.03522807398912,1.05645677568798,0.105218469997394,0.505690679656052,500
"k25_prev50",0.25,0.498,"pc1",0.04,0.03,0.986214378701834,1.01296004547969,0.000269146259373265,0.0430092773379618,500
"k25_prev15",0.25,0.15,"fitted",0.204,0.574,1.53837837600865,5.04726740235924,4.04542705640488,1.55006639339941,500
"k25_prev15",0.25,0.15,"heavyx5",0.126,0.414,1.34581110055325,3.88340131080934,2.82805244480537,1.31102830797916,500
"k25_prev15",0.25,0.15,"heavyx20",0.122,0.378,1.30293019927031,3.68254453679269,2.629781935752,1.26083934839822,500
"k25_prev15",0.25,0.15,"pc1",0.022,0.054,1.00083811599191,1.0537599814969,0.0156523524859987,0.133466973016055,500
"k25_prev08",0.25,0.081,"fitted",0.491967871485944,0.883534136546185,2.10041012910967,9.84277700038858,8.91340102342219,2.24707324447749,498
"k25_prev08",0.25,0.081,"heavyx5",0.381526104417671,0.809236947791165,1.88070090885732,8.19099050824021,7.23767537211565,2.03021368934136,498
"k25_prev08",0.25,0.081,"heavyx20",0.347389558232932,0.803212851405622,1.83387316928924,7.84267024204906,6.8885378264935,1.9818254390796,498
"k25_prev08",0.25,0.081,"pc1",0.034136546184739,0.0662650602409639,1.00073409311561,1.18493854028866,0.0765692685671577,0.260769593333059,498
"k10_prev08",0.1,0.08,"fitted",0.400801603206413,0.723446893787575,1.88510479370385,6.83381948161848,5.86539643812579,1.99600318425746,499
"k10_prev08",0.1,0.08,"heavyx5",0.316633266533066,0.623246492985972,1.73519759269388,5.99687569212099,4.99394106918222,1.84560113974331,499
"k10_prev08",0.1,0.08,"heavyx20",0.308617234468938,0.61122244488978,1.70871090553548,5.84086237249864,4.82882429646056,1.8163113867533,499
"k10_prev08",0.1,0.08,"pc1",0.106212424849699,0.198396793587174,1.18703984917145,2.18204155253431,0.874808178218765,0.820103310110401,499
"A_prev08",0.01,0.081,"fitted",0.05,0.13,1.04134478140401,1.52592605658566,0.57191350602981,1.04684374057779,500
"A_prev08",0.01,0.081,"heavyx5",0.064,0.142,1.0367340269402,1.54954702593933,0.585663203153243,1.05994206328345,500
"A_prev08",0.01,0.081,"heavyx20",0.064,0.146,1.03847212719259,1.54388650083172,0.579671081594086,1.05373149504976,500
"A_prev08",0.01,0.081,"pc1",0.068,0.058,1.02985014335313,1.03899385008756,0.0130335386860286,0.19319728815462,500
