"cell","tag","G","prev","evmin","Vmin","size_hl","size_edge","ratio_d","ratio_e","ncsh_e","reps"
"A_prev50_G5","A",5,0.499,36.3,22.43,0.054,0.058,1.04139795631351,1.00885189343433,0.0124577641343431,500
"A_prev15_G5","A",5,0.151,10.2,9.13,0.044,0.062,1.07416508553737,1.13679369723531,0.190772625268612,500
"A_prev08_G5","A",5,0.081,5.9,5.58,0.076,0.088,1.14189395218842,1.27491836447174,0.35417570171035,500
"A_prev50_G10","A",10,0.499,16.5,10.7,0.044,0.05,1.013986744729,0.977411703168574,0.0315938718532712,500
"A_prev15_G10","A",10,0.151,4.6,4.18,0.054,0.088,1.02860809260215,1.28521083194059,0.30712576762323,500
"A_prev08_G10","A",10,0.081,2.8,2.6,0.05,0.13,1.04134478140401,1.52592605658566,0.57191350602981,500
"A_prev50_G20","A",20,0.499,7.6,5.1,0.058,0.042,1.02992725465555,0.979771097164699,0.0573068609818807,500
"A_prev15_G20","A",20,0.151,2.1,1.94,0.038,0.084,1.00783045621312,1.30134540065224,0.34921979991274,500
"A_prev08_G20","A",20,0.081,1.3,1.22,0.056,0.144,1.00848092779452,1.65291315200544,0.650450684598346,500
"k25_prev50_G5","k25",5,0.498,24.8,16.39,0.068,0.054,1.15236903576412,1.10863642867593,0.15479604533477,500
"k25_prev30_G5","k25",5,0.298,12.9,10.72,0.096,0.128,1.37283486930706,1.76795003298276,0.833403090844789,500
"k25_prev15_G5","k25",5,0.15,6.6,6,0.292,0.464,2.1586137886462,4.14114942537505,3.2570983440901,500
"k25_prev08_G5","k25",5,0.081,3.9,3.73,0.54,0.79,3.10981625592199,6.84904740070843,6.04230411057904,500
"k25_prev50_G10","k25",10,0.498,10.8,7.51,0.056,0.044,1.10870891736695,1.12094311627222,0.241367017025074,500
"k25_prev30_G10","k25",10,0.298,5.5,4.71,0.06,0.14,1.16676917828705,1.93390052584844,0.980543418611213,500
"k25_prev15_G10","k25",10,0.15,2.8,2.63,0.204,0.574,1.53837837600865,5.04726740235924,4.04542705640488,500
"k25_prev08_G10","k25",10,0.081,1.7,1.67,0.494,0.884,2.10064835805649,9.85391257768355,8.92685944384828,500
"k25_prev50_G20","k25",20,0.498,4.8,3.45,0.044,0.056,1.05308254220082,1.25178521382135,0.340721081610384,500
"k25_prev30_G20","k25",20,0.298,2.4,2.09,0.04,0.136,1.05919624794259,2.0092898473762,0.982152421100797,500
"k25_prev15_G20","k25",20,0.15,1.3,1.17,0.1,0.56,1.20081876889717,4.98430043302877,3.91701722892776,500
"k25_prev08_G20","k25",20,0.081,0.8,0.76,0.291164658634538,0.91566265060241,1.47530600464244,10.8454925853079,9.85796247940528,498
