"rep","cell","dep","rel","grouping","prev","hl","edge"
1,"k25_prev50","null",0,"fitted",0.4375,0.278128227676749,0.335071375096002
1,"k25_prev50","null",0,"pc1",0.4375,0.0431335027174036,0.241887166874651
2,"k25_prev50","null",0,"fitted",0.525,0.547113137391052,0.681141836800624
2,"k25_prev50","null",0,"pc1",0.525,0.612221058893838,0.610715762867828
3,"k25_prev50","null",0,"fitted",0.485,0.255488763868813,0.332881284835705
3,"k25_prev50","null",0,"pc1",0.485,0.623815364017936,0.499860098030236
4,"k25_prev50","null",0,"fitted",0.46,0.461629573111119,0.603881181277585
4,"k25_prev50","null",0,"pc1",0.46,0.34173402796435,0.443300799945347
5,"k25_prev50","null",0,"fitted",0.51,0.447531408768887,0.261790611191172
5,"k25_prev50","null",0,"pc1",0.51,0.134426179794616,0.1393878485999
6,"k25_prev50","null",0,"fitted",0.485,0.783717391927018,0.292631131580889
6,"k25_prev50","null",0,"pc1",0.485,0.348445005997554,0.553478850130489
7,"k25_prev50","null",0,"fitted",0.475,0.562582418015937,0.789406147042969
7,"k25_prev50","null",0,"pc1",0.475,0.713138508911882,0.794880407402002
8,"k25_prev50","null",0,"fitted",0.48,0.674068376638109,0.899552350877716
8,"k25_prev50","null",0,"pc1",0.48,0.729888020923608,0.489585041160879
9,"k25_prev50","null",0,"fitted",0.52,0.933463043837655,0.943038703686963
9,"k25_prev50","null",0,"pc1",0.52,0.708679987211895,0.690335088790537
10,"k25_prev50","null",0,"fitted",0.505,0.880691789125086,0.685878556619814
10,"k25_prev50","null",0,"pc1",0.505,0.988621506610652,0.641309099030045
11,"k25_prev50","null",0,"fitted",0.4925,0.314219113687732,0.213339854997575
11,"k25_prev50","null",0,"pc1",0.4925,0.583760253827565,0.485096175320781
12,"k25_prev50","null",0,"fitted",0.5125,0.796843886278668,0.40808819146234
12,"k25_prev50","null",0,"pc1",0.5125,0.763499929506773,0.565041438379059
13,"k25_prev50","null",0,"fitted",0.4875,0.872529756213562,0.609109898204188
13,"k25_prev50","null",0,"pc1",0.4875,0.556742483825463,0.173092009027203
14,"k25_prev50","null",0,"fitted",0.4975,0.949856111246272,0.810128804991431
14,"k25_prev50","null",0,"pc1",0.4975,0.706804723163211,0.750116437161869
15,"k25_prev50","null",0,"fitted",0.4925,0.880499274304552,0.442492134632031
15,"k25_prev50","null",0,"pc1",0.4925,0.0937700979560323,0.365006691519037
16,"k25_prev50","null",0,"fitted",0.495,0.275280036573509,0.573826569444558
16,"k25_prev50","null",0,"pc1",0.495,0.814676271788023,0.659509610626984
17,"k25_prev50","null",0,"fitted",0.535,0.843270067816276,0.724260095344434
17,"k25_prev50","null",0,"pc1",0.535,0.696565145514781,0.501293422002342
18,"k25_prev50","null",0,"fitted",0.5025,0.763236193993155,0.951569674437279
18,"k25_prev50","null",0,"pc1",0.5025,0.884418693230259,0.845519732910762
19,"k25_prev50","null",0,"fitted",0.53,0.659620138725792,0.27747943879676
19,"k25_prev50","null",0,"pc1",0.53,0.50957178337814,0.428467590907585
20,"k25_prev50","null",0,"fitted",0.5325,0.453142666745994,0.31018666980359
20,"k25_prev50","null",0,"pc1",0.5325,0.263739180560965,0.952759676115889
21,"k25_prev50","null",0,"fitted",0.48,0.0977967640067733,0.933609526115584
21,"k25_prev50","null",0,"pc1",0.48,0.625807188280374,0.187137569104459
22,"k25_prev50","null",0,"fitted",0.515,0.129972434738538,0.78406230750449
22,"k25_prev50","null",0,"pc1",0.515,0.487334074112703,0.747435650475419
23,"k25_prev50","null",0,"fitted",0.5125,0.301935937293505,0.1398309315304
23,"k25_prev50","null",0,"pc1",0.5125,0.0576771492468823,0.0926878136641323
24,"k25_prev50","null",0,"fitted",0.465,0.700314447383383,0.892931003936982
24,"k25_prev50","null",0,"pc1",0.465,0.358062238108848,0.524267911000935
25,"k25_prev50","null",0,"fitted",0.485,0.0620834017807276,0.0351110202301816
25,"k25_prev50","null",0,"pc1",0.485,0.48369602943256,0.776926219317485
26,"k25_prev50","null",0,"fitted",0.51,0.359983459760952,0.0984831830522758
26,"k25_prev50","null",0,"pc1",0.51,0.741361395283547,0.116042169039891
27,"k25_prev50","null",0,"fitted",0.505,0.0653753615349031,0.0606534784965582
27,"k25_prev50","null",0,"pc1",0.505,0.825182143222196,0.653281261631803
28,"k25_prev50","null",0,"fitted",0.5275,0.043662836985312,0.263342455826294
28,"k25_prev50","null",0,"pc1",0.5275,0.694273870631128,0.779255428345803
29,"k25_prev50","null",0,"fitted",0.4875,0.302728588241633,0.146050778366796
29,"k25_prev50","null",0,"pc1",0.4875,0.442205947071258,0.839385469455255
30,"k25_prev50","null",0,"fitted",0.53,0.512727504483264,0.363790793629777
30,"k25_prev50","null",0,"pc1",0.53,0.769179500570369,0.159454775622728
31,"k25_prev50","null",0,"fitted",0.52,0.577207167632641,0.320768457714241
31,"k25_prev50","null",0,"pc1",0.52,0.626153001227296,0.713607532282545
32,"k25_prev50","null",0,"fitted",0.48,0.195111240001477,0.389987889678822
32,"k25_prev50","null",0,"pc1",0.48,0.274235785221715,0.371670672867518
33,"k25_prev50","null",0,"fitted",0.4925,0.603050105474752,0.135885460245577
33,"k25_prev50","null",0,"pc1",0.4925,0.868929985952765,0.578996008072799
34,"k25_prev50","null",0,"fitted",0.5125,0.348477436007665,0.724089533370279
34,"k25_prev50","null",0,"pc1",0.5125,0.128072246092573,0.217769580226646
35,"k25_prev50","null",0,"fitted",0.5275,0.564579285120589,0.618499479183494
35,"k25_prev50","null",0,"pc1",0.5275,0.147238771390461,0.75599061645261
36,"k25_prev50","null",0,"fitted",0.5025,0.228889137782615,0.458222350688628
36,"k25_prev50","null",0,"pc1",0.5025,0.954538510831818,0.87886836076796
37,"k25_prev50","null",0,"fitted",0.505,0.917484174077725,0.686593637961713
37,"k25_prev50","null",0,"pc1",0.505,0.91658853141224,0.907011823643559
38,"k25_prev50","null",0,"fitted",0.4875,0.00366906653673205,0.170458068872791
38,"k25_prev50","null",0,"pc1",0.4875,0.988405648191192,0.790755032266912
39,"k25_prev50","null",0,"fitted",0.4825,0.919128434244564,0.827849829536821
39,"k25_prev50","null",0,"pc1",0.4825,0.72981830480047,0.553600296934926
40,"k25_prev50","null",0,"fitted",0.5175,0.345771999734922,0.596544480465692
40,"k25_prev50","null",0,"pc1",0.5175,0.933533533441589,0.685534242260386
41,"k25_prev50","null",0,"fitted",0.49,0.270263747442849,0.155070399791772
41,"k25_prev50","null",0,"pc1",0.49,0.655667957813906,0.681172224228056
42,"k25_prev50","null",0,"fitted",0.4925,0.291349477835443,0.547795278070087
42,"k25_prev50","null",0,"pc1",0.4925,0.907111935432737,0.337580976876826
43,"k25_prev50","null",0,"fitted",0.5175,0.803189854562827,0.867282743853201
43,"k25_prev50","null",0,"pc1",0.5175,0.51090539726213,0.493317067275098
44,"k25_prev50","null",0,"fitted",0.4825,0.765550002190716,0.308243667245862
44,"k25_prev50","null",0,"pc1",0.4825,0.344365878860787,0.460171961726436
45,"k25_prev50","null",0,"fitted",0.49,0.188196031157781,0.828419246344972
