"cell","dep","rel","grouping","hl","edge"
"k25_prev08","null",0,"fitted",0.5,0.8925
"k25_prev08","null",0,"pc1",0.0325,0.065
"k25_prev08","offindex",1,"fitted",0.305,0.7575
"k25_prev08","offindex",1,"pc1",0.0275,0.05
"k25_prev08","offindex",1.5,"fitted",0.2975,0.725
"k25_prev08","offindex",1.5,"pc1",0.025,0.0375
"k25_prev08","quadratic",0.5,"fitted",0.7925,0.9775
"k25_prev08","quadratic",0.5,"pc1",0.085,0.1225
"k25_prev08","quadratic",1,"fitted",0.8625,0.9925
"k25_prev08","quadratic",1,"pc1",0.09,0.1875
"k25_prev08","quadratic",1.5,"fitted",0.88,0.9975
"k25_prev08","quadratic",1.5,"pc1",0.115,0.2625
"k25_prev50","null",0,"fitted",0.0425,0.0425
"k25_prev50","null",0,"pc1",0.03,0.04
"k25_prev50","offindex",1,"fitted",0.0475,0.045
"k25_prev50","offindex",1,"pc1",0.015,0.0525
"k25_prev50","offindex",1.5,"fitted",0.035,0.035
"k25_prev50","offindex",1.5,"pc1",0.0275,0.0425
"k25_prev50","quadratic",0.5,"fitted",0.12,0.125
"k25_prev50","quadratic",0.5,"pc1",0.0275,0.08
"k25_prev50","quadratic",1,"fitted",0.29,0.4875
"k25_prev50","quadratic",1,"pc1",0.0575,0.215
"k25_prev50","quadratic",1.5,"fitted",0.3,0.5225
"k25_prev50","quadratic",1.5,"pc1",0.1425,0.3075
