"table","cell","R","D01","D05","D10","E01","E05","E10"
"T2","A_p5_lam100",500,0.008,0.046,0.096,0.016,0.05,0.072
"T2","A_p5_lam137",500,0.008,0.038,0.09,0.014,0.04,0.086
"T2","A_p5_lam200",500,0.01,0.046,0.11,0.014,0.048,0.094
"T2","B_p40_lam416",500,0.008,0.06,0.11,0.002,0.04,0.094
"T2","B_p100_lam50",500,0.01,0.032,0.064,0.002,0.006,0.03
"T2","B_p100_lam416",500,0.006,0.052,0.102,0,0.028,0.06
"T2","B_p100_lam1000",500,0.004,0.036,0.088,0.004,0.03,0.074
"T2","B_p160_lam416",500,0.01,0.036,0.088,0.004,0.018,0.048
"T3","H1_k15",500,0.018,0.066,0.112,0.01,0.054,0.086
"T3","H2_k33",500,0.006,0.052,0.094,0,0.03,0.064
"T3","H3_k40_lam50",500,0.084,0.13,0.194,0.012,0.024,0.054
"T3","H4_k40_lam1000",500,0.004,0.034,0.114,0.008,0.056,0.118
"T3","H5_k25_ar03",500,0.39,0.688,0.798,0.062,0.076,0.102
"T3","H6_k25_weak",500,0.006,0.054,0.104,0,0.028,0.06
"T3","H7_k25_strong",500,0.016,0.082,0.154,0.028,0.08,0.154
"T3","H8_n800_k25",500,0.026,0.122,0.18,0.014,0.074,0.14
"T3","H9_k25_G20",500,0.01,0.044,0.106,0.014,0.056,0.108
"T3","A_t3",500,0.004,0.05,0.088,0.012,0.05,0.11
"T3","A_binary",500,0.01,0.052,0.114,0.016,0.058,0.116
"T3","k10_t3",500,0.034,0.112,0.202,0.022,0.08,0.15
"T3","k10_binary",500,0.006,0.064,0.126,0.016,0.074,0.14
"T3","k25_t3",500,0.016,0.066,0.144,0.008,0.044,0.116
"T3","k25_binary",500,0.016,0.054,0.122,0.012,0.044,0.088
"T3","k40_t3",500,0.008,0.076,0.13,0.012,0.05,0.09
"T3","k40_binary",500,0.008,0.056,0.12,0.002,0.044,0.086
