"cell","mean_S","tr_OmMLE","meanv2","delta_t2","delta_52","true_sd","est_sd","wR2","wR4","wR5","ref","defl_dec","size_dec","defl_edge","size_edge","R"
"A_n500_p5_lam100",7.40486365064479,7.97375280777059,0.0753293049170238,0.045534678447399,0.0337457676435226,0.792492138736304,0.787357411445122,0.918226967834652,0.90486670738526,0.913876817179875,"R2",1.00416325199149,0.044,0.9804054474412,0.05,500
"A_n500_p5_lam100",7.40486365064479,7.97375280777059,0.0753293049170238,0.045534678447399,0.0337457676435226,0.792492138736304,0.787357411445122,0.918226967834652,0.90486670738526,0.913876817179875,"R4",1.01779013248815,0.052,1.01014591646408,0.05,500
"A_n500_p5_lam100",7.40486365064479,7.97375280777059,0.0753293049170238,0.045534678447399,0.0337457676435226,0.792492138736304,0.787357411445122,0.918226967834652,0.90486670738526,0.913876817179875,"R5",1.01017168374543,0.046,0.971467786818474,0.048,500
"A_n500_p5_lam100",7.40486365064479,7.97375280777059,0.0753293049170238,0.045534678447399,0.0337457676435226,0.792492138736304,0.787357411445122,0.918226967834652,0.90486670738526,0.913876817179875,"R2nc",NA,0.044,NA,0.044,500
"A_n500_p5_lam100",7.40486365064479,7.97375280777059,0.0753293049170238,0.045534678447399,0.0337457676435226,0.792492138736304,0.787357411445122,0.918226967834652,0.90486670738526,0.913876817179875,"R5nc",NA,0.046,NA,0.046,500
"A_n500_p5_lam137",7.37302160687853,7.97424812829196,0.105744979630797,0.063714271505414,0.0504043260694891,0.792492138736304,0.787355630402412,0.911903530731572,0.895767996415048,0.90460964204295,"R2",1.00454200365174,0.036,0.981987522297939,0.04,500
"A_n500_p5_lam137",7.37302160687853,7.97424812829196,0.105744979630797,0.063714271505414,0.0504043260694891,0.792492138736304,0.787355630402412,0.911903530731572,0.895767996415048,0.90460964204295,"R4",1.02086776733055,0.044,1.01785585924715,0.046,500
"A_n500_p5_lam137",7.37302160687853,7.97424812829196,0.105744979630797,0.063714271505414,0.0504043260694891,0.792492138736304,0.787355630402412,0.911903530731572,0.895767996415048,0.90460964204295,"R5",1.01387732952083,0.04,0.978613343168594,0.038,500
"A_n500_p5_lam137",7.37302160687853,7.97424812829196,0.105744979630797,0.063714271505414,0.0504043260694891,0.792492138736304,0.787355630402412,0.911903530731572,0.895767996415048,0.90460964204295,"R2nc",NA,0.034,NA,0.038,500
"A_n500_p5_lam137",7.37302160687853,7.97424812829196,0.105744979630797,0.063714271505414,0.0504043260694891,0.792492138736304,0.787355630402412,0.911903530731572,0.895767996415048,0.90460964204295,"R5nc",NA,0.038,NA,0.038,500
"A_n500_p5_lam200",7.3899514327158,7.97544304291091,0.147538488688129,0.0856347890297909,0.0715009493569766,0.792492138736304,0.787215054039158,0.906132987516188,0.886987550311013,0.895670939193432,"R2",1.01080649334423,0.044,1.01647144305633,0.05,500
"A_n500_p5_lam200",7.3899514327158,7.97544304291091,0.147538488688129,0.0856347890297909,0.0715009493569766,0.792492138736304,0.787215054039158,0.906132987516188,0.886987550311013,0.895670939193432,"R4",1.03013857241283,0.05,1.0603938596112,0.056,500
"A_n500_p5_lam200",7.3899514327158,7.97544304291091,0.147538488688129,0.0856347890297909,0.0715009493569766,0.792492138736304,0.787215054039158,0.906132987516188,0.886987550311013,0.895670939193432,"R5",1.02384646593707,0.046,1.01846358733302,0.048,500
"A_n500_p5_lam200",7.3899514327158,7.97544304291091,0.147538488688129,0.0856347890297909,0.0715009493569766,0.792492138736304,0.787215054039158,0.906132987516188,0.886987550311013,0.895670939193432,"R2nc",NA,0.036,NA,0.042,500
"A_n500_p5_lam200",7.3899514327158,7.97544304291091,0.147538488688129,0.0856347890297909,0.0715009493569766,0.792492138736304,0.787215054039158,0.906132987516188,0.886987550311013,0.895670939193432,"R5nc",NA,0.044,NA,0.042,500
"B_n400_p100_lam50",5.065935345566,5.99573071060916,0.521883497461598,0.130358175306841,0.0953659819660796,1.50066164595255,1.61805294632927,0.779137399054883,0.758838738680362,0.839131244723715,"R2",1.11787678753303,0.086,1.30356469605035,0.12,500
"B_n400_p100_lam50",5.065935345566,5.99573071060916,0.521883497461598,0.130358175306841,0.0953659819660796,1.50066164595255,1.61805294632927,0.779137399054883,0.758838738680362,0.839131244723715,"R4",1.18596992453768,0.098,1.56067128416439,0.154,500
"B_n400_p100_lam50",5.065935345566,5.99573071060916,0.521883497461598,0.130358175306841,0.0953659819660796,1.50066164595255,1.61805294632927,0.779137399054883,0.758838738680362,0.839131244723715,"R5",0.991980704873332,0.046,0.980313773924731,0.056,500
"B_n400_p100_lam50",5.065935345566,5.99573071060916,0.521883497461598,0.130358175306841,0.0953659819660796,1.50066164595255,1.61805294632927,0.779137399054883,0.758838738680362,0.839131244723715,"R2nc",NA,0.074,NA,0.09,500
"B_n400_p100_lam50",5.065935345566,5.99573071060916,0.521883497461598,0.130358175306841,0.0953659819660796,1.50066164595255,1.61805294632927,0.779137399054883,0.758838738680362,0.839131244723715,"R5nc",NA,0.036,NA,0.046,500
