"group","pred_r","obs_r","obs_v"
1,-3.25252959020041,-2.77236007187143,0.223647720346857
2,-2.04726074158084,-2.23212613326592,-0.168862160173288
3,-1.96966742584677,-1.68889427175247,-0.2317713694125
4,-0.771179111907937,-0.995727694363525,-0.184105885974926
5,-0.0217751703230305,-0.380799897671816,-0.0719810200055574
6,-0.772964639973095,0.295217706402856,0.00733362985943116
7,0.562381611457678,1.00537917292622,0.157944888039409
8,2.18967031828398,1.59449302726854,0.175618496122176
9,2.37857704148976,2.3047960904413,0.217991092752014
10,3.51436870954414,2.85997204837446,-0.116261206754839
