"cell","ref","defl_dec","size_dec","defl_edge","size_edge","mean_S","meanv2","mean_h","R"
"A_n500_p5_lam100","R0",1.0067194092175,0.034,1.14868551139271,0.044,8.02869678355096,0.612259767840278,0.00739438183258739,500
"A_n500_p5_lam100","R2",1.08858527805511,0.044,1.3695170166963,0.08,8.02869678355096,0.612259767840278,0.00739438183258739,500
"A_n500_p5_lam100","R4",1.10335912864229,0.056,1.41099028801648,0.088,8.02869678355096,0.612259767840278,0.00739438183258739,500
"A_n500_p5_lam137","R0",0.997576761556604,0.026,1.1508719601084,0.044,7.95658665306018,0.65222136482927,0.00664661748317704,500
"A_n500_p5_lam137","R2",1.08383871340235,0.048,1.38811337063262,0.076,7.95658665306018,0.65222136482927,0.00664661748317704,500
"A_n500_p5_lam137","R4",1.10145460418695,0.056,1.43872370308905,0.084,7.95658665306018,0.65222136482927,0.00664661748317704,500
"A_n500_p5_lam200","R0",1.00659526316192,0.038,1.17715136264401,0.04,8.02909223965984,0.734223295846502,0.00576380008301218,500
"A_n500_p5_lam200","R2",1.09811696743766,0.064,1.43419275446697,0.076,8.02909223965984,0.734223295846502,0.00576380008301218,500
"A_n500_p5_lam200","R4",1.11912238594383,0.068,1.49606379349713,0.084,8.02909223965984,0.734223295846502,0.00576380008301218,500
"B_n400_p100_lam50","R0",3.39056076083387,0.994,10.1391766820132,1,20.490101546483,15.6408503389039,0.109179097621724,500
"B_n400_p100_lam50","R2",4.44783426753735,1,14.2846024332287,1,20.490101546483,15.6408503389039,0.109179097621724,500
"B_n400_p100_lam50","R4",4.71661099437369,1,17.2908707172097,1,20.490101546483,15.6408503389039,0.109179097621724,500
"B_n400_p100_lam416","R0",1.3840543292901,0.1,3.20252767089425,0.546,8.35571896779147,4.03372390779974,0.0383211318516867,500
"B_n400_p100_lam416","R2",1.86090067411777,0.39,4.59368305652665,0.882,8.35571896779147,4.03372390779974,0.0383211318516867,500
"B_n400_p100_lam416","R4",1.75134375474269,0.32,4.88036007385956,0.938,8.35571896779147,4.03372390779974,0.0383211318516867,500
"B_n400_p100_lam1000","R0",1.19283961976342,0.056,2.50994079786369,0.29,7.20969709106345,2.89867710665116,0.0215894384367908,500
"B_n400_p100_lam1000","R2",1.61479052082885,0.244,3.64205974773513,0.668,7.20969709106345,2.89867710665116,0.0215894384367908,500
"B_n400_p100_lam1000","R4",1.49228622956799,0.166,3.77510978622281,0.712,7.20969709106345,2.89867710665116,0.0215894384367908,500
"B_n400_p40_lam416","R0",0.92767097880922,0.01,1.3652676770102,0.032,6.72902358154287,1.32863582787009,0.0172189719070847,500
"B_n400_p40_lam416","R2",1.16367269002023,0.074,1.86560849790994,0.148,6.72902358154287,1.32863582787009,0.0172189719070847,500
"B_n400_p40_lam416","R4",1.09388900184013,0.042,1.91795943877674,0.152,6.72902358154287,1.32863582787009,0.0172189719070847,500
"B_n400_p160_lam416","R0",1.94557057546495,0.48,5.13875065751682,0.956,9.42648910809296,5.84568838636228,0.0586418309970749,500
"B_n400_p160_lam416","R2",2.79473129915948,0.886,7.68914319351539,1,9.42648910809296,5.84568838636228,0.0586418309970749,500
"B_n400_p160_lam416","R4",2.63824823470216,0.846,8.2554446523418,1,9.42648910809296,5.84568838636228,0.0586418309970749,500
