"cell","dep","rel","hl_R5_inf","hl_R5","hl_R2","hl_R0","pp_hl","e2_R5_inf","e2_R5","e2_R2","e3_R5_inf","e3_R2","ad_R5_inf","kd_R5_inf","pp_edge","deg_ad","rho_hat","R"
"A_p5","null",0,0.05,0.05,0.05,0.035,0.0475,0.035,0.035,0.0375,0.0425,0.045,0.0425,0.0425,0.04,3,0.93,400
"B_p100","null",0,0.04,0.0625,0.0625,0.0125,0.05,0.03,0.0325,0.035,0.035,0.0825,0.05,0.03,0.045,2,0.69,400
"B_p160","null",0,0.035,0.055,0.1325,0.02,0.0725,0.0175,0.02,0.025,0.0225,0.1075,0.0325,0.0175,0.045,1,0.66,400
"B_p40","null",0,0.0525,0.06,0.045,0.005,0.04,0.02,0.02,0.0175,0.0375,0.04,0.0375,0.02,0.0375,2,0.71,400
"A_p5","quadratic",0.5,0.3425,0.3425,0.3425,0.29,0.3275,0.72,0.72,0.735,0.64,0.6475,0.64,0.64,0.6325,3,0.92,400
"B_p100","quadratic",0.5,0.08,0.095,0.1225,0.0375,0.095,0.1375,0.145,0.18,0.0875,0.2,0.1075,0.1375,0.1525,1,0.66,400
"B_p160","quadratic",0.5,0.0675,0.1125,0.19,0.03,0.145,0.0775,0.085,0.125,0.05,0.2075,0.06,0.0775,0.125,1,0.63,400
"B_p40","quadratic",0.5,0.0975,0.1125,0.1025,0.025,0.08,0.2375,0.2425,0.2375,0.195,0.2375,0.1925,0.2375,0.2175,2,0.7,400
"A_p5","offindex",1,0.215,0.2175,0.2125,0.175,0.2,0.4275,0.4275,0.44,0.3525,0.3575,0.3525,0.3525,0.35,3,0.91,400
"B_p100","offindex",1,0.04,0.05,0.055,0.02,0.0525,0.04,0.045,0.06,0.0375,0.1,0.0575,0.04,0.07,1,0.65,400
"B_p160","offindex",1,0.0475,0.075,0.1375,0.025,0.1,0.0325,0.0375,0.0725,0.0225,0.1525,0.045,0.0325,0.065,1,0.61,400
"B_p40","offindex",1,0.0275,0.0375,0.0275,0.0075,0.0275,0.02,0.02,0.02,0.025,0.0425,0.0375,0.02,0.0325,2,0.67,400
"A_p5","quadratic",1,0.965,0.965,0.965,0.9425,0.95,0.9975,0.9975,0.9975,0.9975,0.9975,0.995,0.9975,0.9975,3,0.9,400
"B_p100","quadratic",1,0.2325,0.28,0.3825,0.1875,0.3325,0.4325,0.4475,0.5075,0.32,0.5025,0.165,0.4325,0.4575,1,0.6,400
"B_p160","quadratic",1,0.1375,0.185,0.3175,0.1175,0.2375,0.26,0.2725,0.345,0.14,0.4325,0.0825,0.26,0.295,1,0.53,400
"B_p40","quadratic",1,0.405,0.4325,0.4625,0.2975,0.44,0.7125,0.7225,0.74,0.64,0.7075,0.435,0.7125,0.695,1,0.66,400
"A_p5","offindex",1.5,0.3475,0.3525,0.3525,0.32,0.3375,0.5825,0.5825,0.595,0.5175,0.54,0.5175,0.5175,0.5375,3,0.88,400
"B_p100","offindex",1.5,0.045,0.06,0.08,0.015,0.065,0.0375,0.0425,0.0675,0.0325,0.1025,0.04,0.0375,0.0625,1,0.63,400
"B_p160","offindex",1.5,0.04,0.0725,0.135,0.0225,0.0975,0.0425,0.05,0.08,0.0275,0.1375,0.0525,0.0425,0.0625,1,0.58,400
"B_p40","offindex",1.5,0.0475,0.05,0.0525,0.02,0.045,0.02,0.02,0.02,0.0275,0.035,0.0225,0.02,0.035,1,0.65,400
"A_p5","quadratic",1.5,0.995,0.995,0.995,0.995,0.995,1,1,1,1,1,0.985,1,1,3,0.86,400
"B_p100","quadratic",1.5,0.31,0.3675,0.4775,0.2925,0.4325,0.645,0.65,0.7125,0.4325,0.66,0.2025,0.645,0.615,1,0.52,400
"B_p160","quadratic",1.5,0.1675,0.2175,0.39,0.1675,0.3025,0.35,0.365,0.465,0.1875,0.485,0.0775,0.35,0.3675,1,0.44,400
"B_p40","quadratic",1.5,0.695,0.71,0.7375,0.6475,0.7125,0.9,0.9,0.915,0.8275,0.8725,0.365,0.9,0.875,1,0.6,400
