"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
1,"A_p5","offindex",1.5,3,0.873778393657144,0.118126051342576,0.00254703354066343,0.00254703354066343,0.126666666666667,0.00333333333333333
2,"A_p5","offindex",1.5,3,0.893368465073169,0.28955239275675,0.0140231931455124,0.0140231931455124,0.31,0.01
3,"A_p5","offindex",1.5,3,0.847893956237465,0.279589124205619,0.0287787947587315,0.0287787947587315,0.306666666666667,0.0233333333333333
4,"A_p5","offindex",1.5,3,0.859088988296624,0.221206789830087,0.53166226522019,0.53166226522019,0.19,0.453333333333333
5,"A_p5","offindex",1.5,3,0.927813908165604,0.0233841393625884,0.00177401226920193,0.00177401226920193,0.0233333333333333,0.00333333333333333
6,"A_p5","offindex",1.5,3,0.946154990231405,0.0624138958386902,0.07036814718733,0.07036814718733,0.08,0.1
7,"A_p5","offindex",1.5,3,0.813308611942004,0.00701067185297988,0.00140212838738407,0.00140212838738407,0.01,0.00333333333333333
8,"A_p5","offindex",1.5,3,0.923538883976739,0.0370860935115765,0.0019052010169549,0.0019052010169549,0.04,0.00333333333333333
9,"A_p5","offindex",1.5,3,0.794248797280013,0.755939614139211,0.623379086659315,0.623379086659315,0.786666666666667,0.626666666666667
10,"A_p5","offindex",1.5,3,0.842241023257396,0.00271434336663323,0.000263920847410781,0.000263920847410781,0.01,0.00333333333333333
11,"A_p5","offindex",1.5,3,0.872573105109256,0.572752981760867,0.952205488711279,0.952205488711279,0.61,0.966666666666667
12,"A_p5","offindex",1.5,3,0.929194988319343,0.000560177863813127,1.82092670797385e-05,1.82092670797385e-05,0.00333333333333333,0.00333333333333333
13,"A_p5","offindex",1.5,3,0.883652948077804,0.711532551003945,0.0922141067764366,0.0922141067764366,0.703333333333333,0.0766666666666667
14,"A_p5","offindex",1.5,3,0.84366536641744,0.560726585468964,0.154364894663018,0.154364894663018,0.573333333333333,0.163333333333333
15,"A_p5","offindex",1.5,3,0.887797728629794,0.0235283018117241,0.000405409025847847,0.000405409025847847,0.0233333333333333,0.00333333333333333
16,"A_p5","offindex",1.5,3,0.887627608047741,0.565834369436056,0.0954890346740218,0.0954890346740218,0.576666666666667,0.0833333333333333
17,"A_p5","offindex",1.5,3,0.883657084885054,0.466667605584286,0.526226859964082,0.526226859964082,0.463333333333333,0.526666666666667
18,"A_p5","offindex",1.5,3,0.875997362376509,0.148624655359459,0.0135372628787565,0.0135372628787565,0.116666666666667,0.0166666666666667
19,"A_p5","offindex",1.5,3,0.923561198974557,0.00123835382657433,9.14696941731741e-05,9.14696941731741e-05,0.00666666666666667,0.00333333333333333
20,"A_p5","offindex",1.5,3,0.88514073905099,0.588522318319279,0.150673830391479,0.150673830391479,0.603333333333333,0.16
21,"A_p5","offindex",1.5,3,0.942748500921583,0.362570933768582,0.394132099453099,0.394132099453099,0.356666666666667,0.37
22,"A_p5","offindex",1.5,3,0.934308602445482,0.222020741495111,0.545050361877076,0.545050361877076,0.223333333333333,0.51
23,"A_p5","offindex",1.5,3,0.876265609706352,0.248939711397919,0.0507370952412289,0.0507370952412289,0.226666666666667,0.0433333333333333
24,"A_p5","offindex",1.5,3,0.864535259991752,0.399614748990251,0.0497521073540337,0.0497521073540337,0.36,0.0366666666666667
25,"A_p5","offindex",1.5,3,0.894105948835478,0.00774443117770485,0.000190755171355583,0.000190755171355583,0.01,0.00333333333333333
26,"A_p5","offindex",1.5,3,0.850401008502254,0.179575631239362,0.021027502662718,0.021027502662718,0.14,0.0166666666666667
27,"A_p5","offindex",1.5,3,0.893941881865917,0.000147543154702556,5.80391776439093e-06,5.80391776439093e-06,0.00333333333333333,0.00333333333333333
28,"A_p5","offindex",1.5,3,0.905325963100367,0.146854536684998,0.101395373735561,0.101395373735561,0.173333333333333,0.08
29,"A_p5","offindex",1.5,3,0.849281135235678,0.256904670953382,0.108792924454556,0.108792924454556,0.26,0.133333333333333
30,"A_p5","offindex",1.5,3,0.900707373489208,0.281393706937241,0.125264483520359,0.125264483520359,0.303333333333333,0.0766666666666667
31,"A_p5","offindex",1.5,3,0.891971024758747,0.0346613507731209,0.0250362293692986,0.0250362293692986,0.0333333333333333,0.02
32,"A_p5","offindex",1.5,3,0.887912287660367,0.00166572514875019,0.000625525228527435,0.000625525228527435,0.01,0.00333333333333333
33,"A_p5","offindex",1.5,3,0.902365471652969,0.280628507349909,0.0296236767078357,0.0296236767078357,0.256666666666667,0.0166666666666667
34,"A_p5","offindex",1.5,3,0.890993897678277,0.0544997897667596,0.0283001557523659,0.0283001557523659,0.0533333333333333,0.0333333333333333
35,"A_p5","offindex",1.5,3,0.926978562133552,0.0204187699787808,0.0217387868706136,0.0217387868706136,0.02,0.0266666666666667
36,"A_p5","offindex",1.5,3,0.89684935219917,0.405857409493729,0.881836283809755,0.881836283809755,0.37,0.88
37,"A_p5","offindex",1.5,3,0.854854310620529,0.0174284553809368,0.0208273545531845,0.0208273545531845,0.03,0.02
38,"A_p5","offindex",1.5,3,0.923963488764875,0.333403224986312,0.0663569398898949,0.0663569398898949,0.313333333333333,0.0666666666666667
39,"A_p5","offindex",1.5,3,0.927964013846602,0.436889057650657,0.0762857919322517,0.0762857919322517,0.41,0.0633333333333333
40,"A_p5","offindex",1.5,3,0.900234709225315,0.0707881795170322,0.0626279960416072,0.0626279960416072,0.0633333333333333,0.0566666666666667
41,"A_p5","offindex",1.5,3,0.833032407943058,0.443233882708679,0.117034075397149,0.117034075397149,0.506666666666667,0.15
42,"A_p5","offindex",1.5,3,0.885195102953183,0.0910965716814338,0.0237968104260516,0.0237968104260516,0.08,0.0166666666666667
43,"A_p5","offindex",1.5,3,0.875053636516519,0.105954055270496,0.00856074760444114,0.00856074760444114,0.103333333333333,0.00666666666666667
44,"A_p5","offindex",1.5,3,0.911923715065851,0.230581886941127,0.0187174015621232,0.0187174015621232,0.226666666666667,0.03
45,"A_p5","offindex",1.5,3,0.918494385304995,0.172534342795835,0.105640001716324,0.105640001716324,0.19,0.113333333333333
46,"A_p5","offindex",1.5,3,0.904075392594395,0.627999562352234,0.411777442354885,0.411777442354885,0.613333333333333,0.383333333333333
47,"A_p5","offindex",1.5,3,0.899217806468137,0.0554888755631358,0.021839934400282,0.021839934400282,0.05,0.0233333333333333
48,"A_p5","offindex",1.5,3,0.854297132169284,0.0168770293136753,0.00160817907291833,0.00160817907291833,0.03,0.00333333333333333
49,"A_p5","offindex",1.5,3,0.858587472178822,0.210409944747067,0.021079263596728,0.021079263596728,0.166666666666667,0.0133333333333333
50,"A_p5","offindex",1.5,3,0.884066196178397,0.0662353221752082,0.00928479076220745,0.00928479076220745,0.06,0.00666666666666667
51,"A_p5","offindex",1.5,3,0.936411810810444,0.0906280380600085,0.0103760388214835,0.0103760388214835,0.0766666666666667,0.01
52,"A_p5","offindex",1.5,3,0.917298084234346,0.0743494048231749,0.12152258184187,0.12152258184187,0.0766666666666667,0.11
53,"A_p5","offindex",1.5,3,0.938682326489626,0.000775973327343138,6.53797185246052e-06,6.53797185246052e-06,0.00333333333333333,0.00333333333333333
54,"A_p5","offindex",1.5,3,0.881150893909485,0.285384101563413,0.240180080899988,0.240180080899988,0.286666666666667,0.25
55,"A_p5","offindex",1.5,3,0.85398632205316,0.438868123903358,0.172430667817652,0.172430667817652,0.46,0.176666666666667
56,"A_p5","offindex",1.5,3,0.922880101554586,0.429116825773651,0.363987651579434,0.363987651579434,0.44,0.356666666666667
57,"A_p5","offindex",1.5,3,0.92249401096467,0.537781805133108,0.115463569782532,0.115463569782532,0.543333333333333,0.126666666666667
58,"A_p5","offindex",1.5,3,0.881498153871176,0.043348138853032,0.0241241698519452,0.0241241698519452,0.0333333333333333,0.04
59,"A_p5","offindex",1.5,3,0.885679751629001,0.23090518146231,0.264469300113976,0.264469300113976,0.223333333333333,0.223333333333333
60,"A_p5","offindex",1.5,3,0.874792824458912,0.00121147666111443,0.00358852402629495,0.00358852402629495,0.00333333333333333,0.00333333333333333
61,"A_p5","offindex",1.5,3,0.895740633583531,0.0117193831947742,0.00140549145288027,0.00140549145288027,0.02,0.00333333333333333
62,"A_p5","offindex",1.5,3,0.862655091008944,0.711208903640438,0.801683773359112,0.801683773359112,0.743333333333333,0.806666666666667
63,"A_p5","offindex",1.5,3,0.90974441418677,0.105563916756085,0.0390767827327616,0.0390767827327616,0.103333333333333,0.0333333333333333
64,"A_p5","offindex",1.5,3,0.899658063091607,0.178636125908181,0.0561276353680712,0.0561276353680712,0.17,0.0466666666666667
65,"A_p5","offindex",1.5,3,0.940088808698142,0.248813235979948,0.154348708779475,0.154348708779475,0.246666666666667,0.113333333333333
66,"A_p5","offindex",1.5,3,0.896629088164817,0.0689410026447999,0.0796507562801794,0.0796507562801794,0.07,0.07
67,"A_p5","offindex",1.5,3,0.881143363998842,0.732709742316395,0.127171786552222,0.127171786552222,0.696666666666667,0.116666666666667
68,"A_p5","offindex",1.5,3,0.805718837561095,0.0236690752052919,0.0811521773495111,0.0811521773495111,0.0266666666666667,0.0866666666666667
69,"A_p5","offindex",1.5,3,0.872426728209535,0.157364337502636,0.0537090348643966,0.0537090348643966,0.143333333333333,0.0433333333333333
70,"A_p5","offindex",1.5,3,0.896776295309348,0.513306190033046,0.221932722382292,0.221932722382292,0.476666666666667,0.166666666666667
71,"A_p5","offindex",1.5,3,0.846759804744088,0.0117606458492661,0.000610268029690442,0.000610268029690442,0.00333333333333333,0.00333333333333333
72,"A_p5","offindex",1.5,3,0.783825850566757,0.0366516482019502,0.00525822619196092,0.00525822619196092,0.0233333333333333,0.00333333333333333
73,"A_p5","offindex",1.5,3,0.879324457383456,0.341977874345614,0.222729318821267,0.222729318821267,0.323333333333333,0.18
74,"A_p5","offindex",1.5,3,0.826892571395115,0.0725393055998753,0.0109649067344468,0.0109649067344468,0.07,0.01
75,"A_p5","offindex",1.5,3,0.830475848236242,0.0149699378324424,0.164658046028175,0.164658046028175,0.01,0.146666666666667
76,"A_p5","offindex",1.5,3,0.884986622779894,0.344810227407903,0.0244281927518878,0.0244281927518878,0.33,0.00666666666666667
77,"A_p5","offindex",1.5,3,0.851630222562874,0.0505537230026465,0.00531425335478752,0.00531425335478752,0.0466666666666667,0.00333333333333333
78,"A_p5","offindex",1.5,3,0.863649330039831,0.374162482948861,0.05449429139757,0.05449429139757,0.396666666666667,0.04
79,"A_p5","offindex",1.5,3,0.821142033200911,0.00313869535876243,0.000403815194515156,0.000403815194515156,0.00333333333333333,0.00333333333333333
80,"A_p5","offindex",1.5,3,0.814251173985118,6.40146986641277e-07,1.95865542673701e-08,1.95865542673701e-08,0.00333333333333333,0.00333333333333333
81,"A_p5","offindex",1.5,3,0.900988278122447,0.504925252020197,0.550306394215331,0.550306394215331,0.533333333333333,0.553333333333333
82,"A_p5","offindex",1.5,3,0.919633895816106,0.365382950080549,0.448901347315686,0.448901347315686,0.4,0.47
