"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
1,"A_p5","offindex",1,3,0.933240067747612,0.374395193968458,0.0961459399818151,0.0961459399818151,0.363333333333333,0.0933333333333333
2,"A_p5","offindex",1,3,0.915271807903188,0.24716939796478,0.0110522782509369,0.0110522782509369,0.29,0.03
3,"A_p5","offindex",1,3,0.883226647132876,0.889040031829568,0.546047343027504,0.546047343027504,0.89,0.56
4,"A_p5","offindex",1,3,0.85272080616941,0.252966443217937,0.305814137474021,0.305814137474021,0.276666666666667,0.27
5,"A_p5","offindex",1,3,0.936541038862506,0.0131748903828786,0.000578111426155936,0.000578111426155936,0.01,0.00333333333333333
6,"A_p5","offindex",1,3,0.953958855825827,0.215654660577682,0.298281185184176,0.298281185184176,0.256666666666667,0.316666666666667
7,"A_p5","offindex",1,3,0.88831471228824,0.0489570183109267,0.0217936284641119,0.0217936284641119,0.06,0.0166666666666667
8,"A_p5","offindex",1,3,0.930219012314607,0.0919315809905105,0.0431179932097128,0.0431179932097128,0.07,0.0366666666666667
9,"A_p5","offindex",1,3,0.884100567978078,0.98110119393057,0.700202228021548,0.700202228021548,0.993333333333333,0.713333333333333
10,"A_p5","offindex",1,3,0.86812547453701,0.0577793516108821,0.00135343659828246,0.00135343659828246,0.0633333333333333,0.00333333333333333
11,"A_p5","offindex",1,3,0.927172311888214,0.883343503733226,0.718496308872092,0.718496308872092,0.9,0.72
12,"A_p5","offindex",1,3,0.927776555724359,0.00725607025236086,0.00186183010114449,0.00186183010114449,0.00333333333333333,0.00666666666666667
13,"A_p5","offindex",1,3,0.893255413385387,0.337048892998029,0.089244834816993,0.089244834816993,0.316666666666667,0.0966666666666667
14,"A_p5","offindex",1,3,0.897188908972565,0.0566903499205402,0.0394393567279339,0.0394393567279339,0.07,0.0366666666666667
15,"A_p5","offindex",1,3,0.90750532319039,0.0685851537199296,0.137462037284004,0.137462037284004,0.0566666666666667,0.103333333333333
16,"A_p5","offindex",1,3,0.915742665584113,0.528743523291965,0.297222304151213,0.297222304151213,0.516666666666667,0.303333333333333
17,"A_p5","offindex",1,3,0.896841263371023,0.666420517064312,0.91908662107095,0.91908662107095,0.633333333333333,0.943333333333333
18,"A_p5","offindex",1,3,0.920163652543601,0.432814992726028,0.243842105690694,0.243842105690694,0.446666666666667,0.203333333333333
19,"A_p5","offindex",1,3,0.928235090322425,0.142820465988809,0.0312953909291416,0.0312953909291416,0.156666666666667,0.0466666666666667
20,"A_p5","offindex",1,3,0.911792243618303,0.200847576965114,0.0313585476050506,0.0313585476050506,0.213333333333333,0.03
21,"A_p5","offindex",1,3,0.960534650618874,0.369447745385936,0.142560068199197,0.142560068199197,0.396666666666667,0.206666666666667
22,"A_p5","offindex",1,3,0.948008606073216,0.446861839145412,0.414338302891397,0.414338302891397,0.453333333333333,0.346666666666667
23,"A_p5","offindex",1,3,0.913576340561071,0.319347383544766,0.0213034567246838,0.0213034567246838,0.34,0.0133333333333333
24,"A_p5","offindex",1,3,0.898830269324963,0.361480445832436,0.0813945884936216,0.0813945884936216,0.33,0.05
25,"A_p5","offindex",1,3,0.90194649936381,0.00541631328851733,0.000388742974037348,0.000388742974037348,0.00666666666666667,0.00333333333333333
26,"A_p5","offindex",1,3,0.890662088367471,0.144970838616897,0.0774366358914064,0.0774366358914064,0.143333333333333,0.0666666666666667
27,"A_p5","offindex",1,3,0.902122123457488,0.103665101659583,0.00416727971622421,0.00416727971622421,0.0633333333333333,0.00666666666666667
28,"A_p5","offindex",1,3,0.89295532211027,0.173150963869198,0.02481521570908,0.02481521570908,0.17,0.02
29,"A_p5","offindex",1,3,0.834361050232026,0.146817527021614,0.0262391072949741,0.0262391072949741,0.146666666666667,0.0166666666666667
30,"A_p5","offindex",1,3,0.922763817670559,0.390124312491276,0.0285110189163765,0.0285110189163765,0.37,0.0233333333333333
31,"A_p5","offindex",1,3,0.92856376110067,0.030539177345614,0.0691836215274937,0.0691836215274937,0.0433333333333333,0.0966666666666667
32,"A_p5","offindex",1,3,0.902319108464924,0.00258961942339786,0.00574738664888153,0.00574738664888153,0.0133333333333333,0.01
33,"A_p5","offindex",1,3,0.934192666685485,0.0499162721101001,0.0491685748894672,0.0491685748894672,0.0333333333333333,0.0333333333333333
34,"A_p5","offindex",1,3,0.912256009240623,0.208570100178653,0.0327650879517841,0.0327650879517841,0.226666666666667,0.0333333333333333
35,"A_p5","offindex",1,3,0.928212579157962,0.0665066795504203,0.218832190685839,0.218832190685839,0.07,0.23
36,"A_p5","offindex",1,3,0.908239913916475,0.707162624958207,0.0973140783603202,0.0973140783603202,0.676666666666667,0.08
37,"A_p5","offindex",1,3,0.828136533744435,0.0283380865598062,0.000990279896584401,0.000990279896584401,0.03,0.00666666666666667
38,"A_p5","offindex",1,3,0.937974849382791,0.000204495959033379,0.0016010075977636,0.0016010075977636,0.00333333333333333,0.00333333333333333
39,"A_p5","offindex",1,3,0.924603004269289,0.623437518723626,0.323938216867774,0.323938216867774,0.58,0.333333333333333
40,"A_p5","offindex",1,3,0.906523257826127,0.0975711771036782,0.143093123429908,0.143093123429908,0.103333333333333,0.153333333333333
41,"A_p5","offindex",1,3,0.882850409583272,0.403986036556386,0.0669561192200763,0.0669561192200763,0.416666666666667,0.0533333333333333
42,"A_p5","offindex",1,3,0.893997595379619,0.0312833334867983,0.1359760813811,0.1359760813811,0.03,0.143333333333333
43,"A_p5","offindex",1,3,0.911563305973893,0.43870625671586,0.103601364422335,0.103601364422335,0.426666666666667,0.0766666666666667
44,"A_p5","offindex",1,3,0.946069936533453,0.105305327771336,0.053280172525995,0.053280172525995,0.13,0.0766666666666667
45,"A_p5","offindex",1,3,0.930109202169426,0.914442761749686,0.690681121648706,0.690681121648706,0.89,0.67
46,"A_p5","offindex",1,3,0.930305560221498,0.654256084182701,0.116874915328927,0.116874915328927,0.613333333333333,0.0933333333333333
47,"A_p5","offindex",1,3,0.884930494185225,0.61601584696113,0.136221752996869,0.136221752996869,0.63,0.136666666666667
48,"A_p5","offindex",1,3,0.864909806257071,0.00382197140048646,0.000379299660375088,0.000379299660375088,0.00333333333333333,0.00333333333333333
49,"A_p5","offindex",1,3,0.932799277518325,0.372707056575399,0.0384715956395977,0.0384715956395977,0.416666666666667,0.0333333333333333
50,"A_p5","offindex",1,3,0.911092754215461,0.00636618251916854,0.000577374082257331,0.000577374082257331,0.01,0.00333333333333333
51,"A_p5","offindex",1,3,0.939881734894722,0.981297819240387,0.884423438164568,0.884423438164568,0.983333333333333,0.91
52,"A_p5","offindex",1,3,0.929110358323088,0.0790480976483423,0.37329683004772,0.37329683004772,0.11,0.36
53,"A_p5","offindex",1,3,0.950663303651827,7.37009429438995e-05,1.34995459182274e-05,1.34995459182274e-05,0.00333333333333333,0.00333333333333333
54,"A_p5","offindex",1,3,0.905043886395104,0.0457533836589081,0.0896864527294096,0.0896864527294096,0.0433333333333333,0.0566666666666667
55,"A_p5","offindex",1,3,0.901321303553755,0.407473151950892,0.122769253803573,0.122769253803573,0.443333333333333,0.1
56,"A_p5","offindex",1,3,0.901852974922482,0.842021476141948,0.693656550275976,0.693656550275976,0.826666666666667,0.666666666666667
57,"A_p5","offindex",1,3,0.927038812180088,0.676924868202979,0.139753484876175,0.139753484876175,0.683333333333333,0.14
58,"A_p5","offindex",1,3,0.931498070242644,0.204347863612414,0.301971080771672,0.301971080771672,0.193333333333333,0.276666666666667
59,"A_p5","offindex",1,3,0.885304164052482,0.936559245699461,0.97821246189028,0.97821246189028,0.956666666666667,0.976666666666667
60,"A_p5","offindex",1,3,0.927973317482933,0.057522509571635,0.0949017325763662,0.0949017325763662,0.07,0.0933333333333333
61,"A_p5","offindex",1,3,0.882271488003593,0.488404257179064,0.515891199752177,0.515891199752177,0.48,0.483333333333333
62,"A_p5","offindex",1,3,0.91723541373215,0.183237896152698,0.598545645295855,0.598545645295855,0.203333333333333,0.583333333333333
63,"A_p5","offindex",1,3,0.914355114101767,0.312885707955365,0.0572512776488308,0.0572512776488308,0.303333333333333,0.0566666666666667
64,"A_p5","offindex",1,3,0.91778951439446,0.580100571610201,0.124021302445225,0.124021302445225,0.62,0.12
65,"A_p5","offindex",1,3,0.944653274929908,0.512344105346823,0.341973051875692,0.341973051875692,0.52,0.336666666666667
66,"A_p5","offindex",1,3,0.898346194494547,0.747342964783671,0.904811448521884,0.904811448521884,0.733333333333333,0.906666666666667
67,"A_p5","offindex",1,3,0.910205083874149,0.0239195217717432,0.0244099248182901,0.0244099248182901,0.0266666666666667,0.0266666666666667
68,"A_p5","offindex",1,3,0.878377684199418,0.833233445536465,0.660707683403829,0.660707683403829,0.84,0.663333333333333
69,"A_p5","offindex",1,3,0.910365800779931,0.337279692091037,0.193485963304382,0.193485963304382,0.336666666666667,0.196666666666667
70,"A_p5","offindex",1,3,0.926428623782835,0.768221265577768,0.655998955652256,0.655998955652256,0.73,0.63
