"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
1,"B_p100","offindex",1,1,0.591162023420035,0.957206478290446,0.941984338162362,0.747690722504278,0.95,0.76
2,"B_p100","offindex",1,1,0.487096184119542,0.261690550713514,0.632765862150393,0.134138988462169,0.16,0.0533333333333333
3,"B_p100","offindex",1,2,0.675660514165439,0.783345391647975,0.980499943939358,0.602039898882574,0.756666666666667,0.613333333333333
4,"B_p100","offindex",1,2,0.70588463644263,0.192620019222065,0.499734470054549,0.525942849356229,0.246666666666667,0.61
5,"B_p100","offindex",1,1,0.504113183682913,0.725434816827839,0.954079190559751,0.297797083780153,0.633333333333333,0.236666666666667
6,"B_p100","offindex",1,1,0.649393964823491,0.603787568824909,0.776491537983626,0.719416699541979,0.56,0.67
7,"B_p100","offindex",1,2,0.690407640788066,0.560516407165559,0.335045042686824,0.469196040247246,0.54,0.41
8,"B_p100","offindex",1,2,0.718981645380112,0.227722231328766,0.760298090379995,0.249459230648003,0.18,0.186666666666667
9,"B_p100","offindex",1,3,0.798418335988287,0.507292360959205,0.990367438183362,0.990367438183362,0.413333333333333,0.986666666666667
10,"B_p100","offindex",1,1,0.545702841384873,0.806243718137101,0.967977857900356,0.749077070534672,0.683333333333333,0.67
11,"B_p100","offindex",1,1,0.61907604629185,0.478325140298577,0.455422624931744,0.0958277523391119,0.49,0.06
12,"B_p100","offindex",1,2,0.726289888404398,0.930748171797742,0.860385464221167,0.619765302881928,0.906666666666667,0.59
13,"B_p100","offindex",1,1,0.634928188390511,0.606539285510463,0.714250767190653,0.136306784563185,0.493333333333333,0.0733333333333333
14,"B_p100","offindex",1,1,0.637684309677473,0.523178633838039,0.107378139959146,0.709113372664153,0.393333333333333,0.683333333333333
15,"B_p100","offindex",1,1,0.536446556113294,0.625990860997454,0.193344326072438,0.456696077440749,0.61,0.37
16,"B_p100","offindex",1,1,0.519376615342816,0.460892087819009,0.810979302881047,0.0977109013122738,0.436666666666667,0.0533333333333333
17,"B_p100","offindex",1,2,0.674711230219504,0.866695822712569,0.946550023672774,0.988202571214554,0.836666666666667,0.99
18,"B_p100","offindex",1,1,0.644097207122785,0.664893850626816,0.00691834581311057,0.396944515711012,0.62,0.28
19,"B_p100","offindex",1,1,0.43705105813582,0.320734839979323,0.203963111415822,0.0847508020109973,0.28,0.0666666666666667
20,"B_p100","offindex",1,2,0.695643745094446,0.600787434344433,0.30809184913145,0.554538458994873,0.533333333333333,0.44
21,"B_p100","offindex",1,3,0.793637480468726,0.678598769656301,0.730254218017939,0.730254218017939,0.693333333333333,0.716666666666667
22,"B_p100","offindex",1,1,0.619995343277252,0.443766565045355,0.800866940257791,0.344152241861812,0.38,0.23
23,"B_p100","offindex",1,2,0.702629586049029,0.10259738771569,0.352490153186359,0.107216905842387,0.0833333333333333,0.06
24,"B_p100","offindex",1,2,0.694009513982731,0.857372986160179,0.581870938404705,0.874123219516214,0.82,0.84
25,"B_p100","offindex",1,2,0.715627701009204,0.867048082683929,0.706264493694763,0.924872983335645,0.823333333333333,0.91
26,"B_p100","offindex",1,2,0.692731220916091,0.415082454321223,0.351770567008458,0.0841996200055201,0.436666666666667,0.0666666666666667
27,"B_p100","offindex",1,3,0.780661571881492,0.763629492844446,0.563197019685352,0.563197019685352,0.8,0.57
28,"B_p100","offindex",1,1,0.507876869509009,0.892745060681682,0.885982943093524,0.787914036424521,0.886666666666667,0.75
29,"B_p100","offindex",1,1,0.613908175630718,0.037040325504575,0.53787443577663,0.208901837472557,0.0333333333333333,0.17
