"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
1,"B_p160","offindex",1.5,1,0.426216581762691,0.268512839649645,0.354769606520194,0.367421271774867,0.183333333333333,0.29
2,"B_p160","offindex",1.5,1,0.634222648404275,0.287434845237817,0.614506333765815,0.405141345281047,0.2,0.266666666666667
3,"B_p160","offindex",1.5,2,0.671496872885089,0.550694379532495,0.900720711627718,0.977328969236465,0.473333333333333,0.983333333333333
4,"B_p160","offindex",1.5,1,0.540129613074714,0.400437000997008,0.944189995305842,0.254523902816392,0.283333333333333,0.15
5,"B_p160","offindex",1.5,2,0.679689013584648,0.264374647669183,0.202566831875353,0.493165001523277,0.183333333333333,0.446666666666667
6,"B_p160","offindex",1.5,1,0.483534229927523,0.289708218362425,0.333581017128147,0.201956275824468,0.146666666666667,0.11
7,"B_p160","offindex",1.5,1,0.547784469115857,0.647461213456658,0.126198663529896,0.60568965779547,0.493333333333333,0.536666666666667
8,"B_p160","offindex",1.5,2,0.678053319208296,0.718696620305168,0.0295345118629786,0.181412761872756,0.68,0.13
9,"B_p160","offindex",1.5,2,0.717956723100434,0.0972798010551973,0.773653496343007,0.58733855126141,0.0233333333333333,0.463333333333333
10,"B_p160","offindex",1.5,3,0.7806808900472,0.247261347672643,0.734442568160669,0.734442568160669,0.2,0.753333333333333
11,"B_p160","offindex",1.5,2,0.689532965183513,0.64143049945979,0.260430325463725,0.610725535351438,0.593333333333333,0.636666666666667
12,"B_p160","offindex",1.5,1,0.535363709824033,0.380163363517954,0.314029784683928,0.0979980740796176,0.263333333333333,0.0666666666666667
13,"B_p160","offindex",1.5,2,0.711692231075469,0.252826459444316,0.822503507088131,0.655920735854744,0.193333333333333,0.663333333333333
14,"B_p160","offindex",1.5,1,0.660074406994582,0.265276473128186,0.382935168391555,0.137029764060781,0.153333333333333,0.0866666666666667
15,"B_p160","offindex",1.5,1,0.328544796908983,0.738950105139556,0.166686014221883,0.500443968304634,0.62,0.37
16,"B_p160","offindex",1.5,1,0.544532104174398,0.129899503902003,0.239907895183552,0.0593988004350445,0.0733333333333333,0.0233333333333333
17,"B_p160","offindex",1.5,1,0.432744251875483,0.651828274180724,0.0303102228632525,0.545181279886802,0.563333333333333,0.453333333333333
18,"B_p160","offindex",1.5,1,0.59324129358164,0.826118108085732,0.179981715090291,0.871939326831026,0.77,0.866666666666667
19,"B_p160","offindex",1.5,1,0.440734412474411,0.473071448374786,0.0981911281570405,0.404949363966578,0.343333333333333,0.373333333333333
20,"B_p160","offindex",1.5,1,0.571720809501769,0.360627467300664,0.622448237975111,0.533209863804977,0.196666666666667,0.446666666666667
21,"B_p160","offindex",1.5,2,0.708513073212119,0.654874463587561,0.541758898528918,0.874847971000318,0.466666666666667,0.84
22,"B_p160","offindex",1.5,1,0.506294940983927,0.587810084425968,0.35722483010142,0.952893645209165,0.426666666666667,0.903333333333333
23,"B_p160","offindex",1.5,1,0.544920994669829,0.404537273323258,0.294857321668545,0.893833025532488,0.333333333333333,0.903333333333333
24,"B_p160","offindex",1.5,1,0.631895367797979,0.0293230759341321,0.718195346827684,0.0551068442703454,0.0266666666666667,0.0333333333333333
25,"B_p160","offindex",1.5,1,0.642187030632396,0.259474934272863,0.78228126460877,0.20491402881282,0.18,0.126666666666667
26,"B_p160","offindex",1.5,3,0.805881954881794,0.254273603367768,0.716680990413977,0.716680990413977,0.113333333333333,0.656666666666667
27,"B_p160","offindex",1.5,1,0.576885625152471,0.545662209832206,0.0366448160067729,0.60950898244266,0.466666666666667,0.61
28,"B_p160","offindex",1.5,1,0.560967637236533,0.198502218555521,0.39823965900753,0.0891820595897546,0.136666666666667,0.0733333333333333
29,"B_p160","offindex",1.5,1,0.566474661241749,0.172473836764052,0.509292974033226,0.300333272725053,0.0966666666666667,0.176666666666667
30,"B_p160","offindex",1.5,2,0.706801039706928,0.667378653357454,0.348835478927134,0.299934580776061,0.556666666666667,0.196666666666667
31,"B_p160","offindex",1.5,1,0.634503278529944,0.926066950267298,0.446054282566345,0.825506446283094,0.903333333333333,0.813333333333333
32,"B_p160","offindex",1.5,1,0.593231179576384,0.646439343846353,0.443417177915498,0.289142528893162,0.52,0.25
33,"B_p160","offindex",1.5,1,0.543326973801211,0.383701243270356,0.803965680792918,0.78875930643073,0.273333333333333,0.743333333333333
34,"B_p160","offindex",1.5,2,0.701958651106195,0.288088500379295,0.782676721313282,0.918800621333026,0.163333333333333,0.926666666666667
35,"B_p160","offindex",1.5,1,0.598386059428738,0.65928619785266,0.195884957675034,0.589085860121455,0.576666666666667,0.54
36,"B_p160","offindex",1.5,3,0.770646897461601,0.947051150838666,0.611557420659874,0.611557420659874,0.916666666666667,0.58
37,"B_p160","offindex",1.5,1,0.573309926626619,0.683910799645825,0.911659553685742,0.911860594669658,0.573333333333333,0.87
38,"B_p160","offindex",1.5,1,0.554794112168621,0.0281758206608518,0.539381545304873,0.0116956308834564,0.03,0.00333333333333333
39,"B_p160","offindex",1.5,1,0.450578016349733,0.852789864418285,0.363334879308508,0.538207256785269,0.776666666666667,0.496666666666667
40,"B_p160","offindex",1.5,1,0.532115277735789,0.172578587900413,0.61436826461892,0.925344676989202,0.08,0.853333333333333
41,"B_p160","offindex",1.5,1,0.646076243073975,0.457771218919569,0.601065201070589,0.280295226053594,0.286666666666667,0.176666666666667
42,"B_p160","offindex",1.5,2,0.753204952627646,0.114396141238243,0.981668525609165,0.461126350567415,0.0833333333333333,0.446666666666667
43,"B_p160","offindex",1.5,1,0.617076266956196,0.0453800881546178,0.301950862511787,0.191012199417684,0.0166666666666667,0.123333333333333
