"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
1,"B_p40","quadratic",0.5,1,0.617051714842549,0.131584248119594,0.994220402642823,0.0491981636069153,0.193333333333333,0.04
2,"B_p40","quadratic",0.5,2,0.76456541154604,0.0846740360293461,0.00130987974289742,0.0044116828578683,0.0666666666666667,0.00333333333333333
3,"B_p40","quadratic",0.5,2,0.710962843255786,0.714817668738493,0.186533560747492,0.434270005752725,0.736666666666667,0.38
4,"B_p40","quadratic",0.5,2,0.731118361582765,0.884492572914886,0.920733193867715,0.776802896304695,0.896666666666667,0.733333333333333
5,"B_p40","quadratic",0.5,1,0.623966818464317,0.0693210588972794,0.492221748289701,0.0203214603907735,0.0666666666666667,0.02
6,"B_p40","quadratic",0.5,2,0.759793704675504,0.464358912793718,0.619329864624304,0.677490829266653,0.486666666666667,0.666666666666667
7,"B_p40","quadratic",0.5,2,0.671706992849609,0.494945625043278,0.716556698944229,0.577094528531656,0.513333333333333,0.57
8,"B_p40","quadratic",0.5,3,0.814369113224422,0.915130969003746,0.353727653800036,0.353727653800036,0.92,0.346666666666667
9,"B_p40","quadratic",0.5,1,0.633656058646493,0.79267578520881,0.698525570343111,0.378697472216997,0.823333333333333,0.343333333333333
10,"B_p40","quadratic",0.5,2,0.74840038345877,0.874631971873007,0.211113316514364,0.273756026865752,0.923333333333333,0.333333333333333
11,"B_p40","quadratic",0.5,2,0.703891539118016,0.384416585041173,0.937105450865808,0.564023144714997,0.38,0.49
12,"B_p40","quadratic",0.5,3,0.786474188067738,0.476831616219004,0.0874872915905345,0.0874872915905345,0.446666666666667,0.07
13,"B_p40","quadratic",0.5,3,0.79434424309014,0.212316159189429,0.0573142745028122,0.0573142745028122,0.226666666666667,0.03
14,"B_p40","quadratic",0.5,2,0.682242205349037,0.895231559594988,0.427956109471584,0.682958586517006,0.913333333333333,0.643333333333333
15,"B_p40","quadratic",0.5,1,0.656756694437667,0.499837031889718,0.370479305970925,0.474639701851244,0.536666666666667,0.446666666666667
16,"B_p40","quadratic",0.5,2,0.695085600359867,0.450374730225196,0.0325061558197207,0.125990077367266,0.473333333333333,0.0766666666666667
17,"B_p40","quadratic",0.5,2,0.725839359200867,0.125686040676383,0.00174588072696225,0.00930752070216234,0.106666666666667,0.01
18,"B_p40","quadratic",0.5,2,0.712698318589269,0.144870595806372,0.243434317295667,0.327922314848833,0.153333333333333,0.32
19,"B_p40","quadratic",0.5,3,0.794878366036128,0.44967714076954,0.229990212505804,0.229990212505804,0.523333333333333,0.233333333333333
20,"B_p40","quadratic",0.5,2,0.724644183914454,0.188524686717542,0.00853247422035153,0.0419662848764233,0.2,0.04
21,"B_p40","quadratic",0.5,2,0.756242259689252,0.0173436202703585,0.401716584689834,0.00750074054510996,0.0133333333333333,0.00666666666666667
22,"B_p40","quadratic",0.5,1,0.634196134698971,0.0344003771725272,0.115301360663416,0.0604526048432004,0.0566666666666667,0.0433333333333333
23,"B_p40","quadratic",0.5,2,0.693697747977897,0.041518613826259,0.0369983510729772,0.0985054195584287,0.0633333333333333,0.113333333333333
24,"B_p40","quadratic",0.5,1,0.602754204545809,0.0656947861629071,0.600342266245851,0.0117226490760252,0.0733333333333333,0.0166666666666667
25,"B_p40","quadratic",0.5,1,0.619288257829131,0.388402879271919,0.422828860761049,0.252200831204385,0.416666666666667,0.283333333333333
26,"B_p40","quadratic",0.5,2,0.679146155041046,0.496233568333832,0.115695637538205,0.329973675768692,0.543333333333333,0.313333333333333
27,"B_p40","quadratic",0.5,1,0.666845071214888,0.681916969556546,0.0785710940658553,0.60088166442141,0.65,0.543333333333333
28,"B_p40","quadratic",0.5,3,0.79329527191598,0.0596145964420212,0.0239482375682227,0.0239482375682227,0.0566666666666667,0.0233333333333333
29,"B_p40","quadratic",0.5,2,0.723149391475313,0.0995991903752016,0.197448704628036,0.315875904922702,0.09,0.326666666666667
30,"B_p40","quadratic",0.5,1,0.609363976589967,0.924399079522728,0.610012576058341,0.850306369457781,0.92,0.843333333333333
31,"B_p40","quadratic",0.5,2,0.673115498462539,0.217802480749375,0.0354663128661937,0.135188226646959,0.186666666666667,0.103333333333333
32,"B_p40","quadratic",0.5,3,0.784644478597399,0.686825942386726,0.752700642531287,0.752700642531287,0.746666666666667,0.726666666666667
33,"B_p40","quadratic",0.5,1,0.632809775211925,0.549467628902759,0.122529270889325,0.591165663465898,0.54,0.57
34,"B_p40","quadratic",0.5,2,0.71131210995055,0.03960873538804,0.0562551383888024,0.145064588918756,0.0566666666666667,0.123333333333333
35,"B_p40","quadratic",0.5,1,0.498376799565811,0.594860234523271,0.879353089492138,0.760563466869605,0.686666666666667,0.74
36,"B_p40","quadratic",0.5,3,0.767434352920721,0.154080704791624,0.117848840372966,0.117848840372966,0.226666666666667,0.146666666666667
37,"B_p40","quadratic",0.5,3,0.79742700463527,0.396299326563188,0.15334750033864,0.15334750033864,0.45,0.2
38,"B_p40","quadratic",0.5,2,0.720777871724453,0.168890159606569,0.00110719113748958,0.00795545050149093,0.176666666666667,0.0166666666666667
39,"B_p40","quadratic",0.5,2,0.705480001480545,0.802904276312217,0.536455611100298,0.808858468715682,0.8,0.756666666666667
40,"B_p40","quadratic",0.5,2,0.670923049771613,0.0631504380341465,0.00412832215802683,0.00207582720971922,0.0933333333333333,0.00333333333333333
41,"B_p40","quadratic",0.5,2,0.698519883980251,0.346803712237423,0.0289985418923936,0.112515320108569,0.403333333333333,0.0966666666666667
42,"B_p40","quadratic",0.5,2,0.726290846517567,0.387793426291781,0.0493223762825892,0.120455416750078,0.35,0.09
43,"B_p40","quadratic",0.5,2,0.714638176380819,0.361609558630647,0.308676164327178,0.272993797854826,0.366666666666667,0.176666666666667
44,"B_p40","quadratic",0.5,2,0.722036923229094,0.497420362558403,0.113946355658306,0.205521031815717,0.506666666666667,0.21
45,"B_p40","quadratic",0.5,2,0.69550531737105,0.875726690182426,0.342874986433064,0.572103839985212,0.866666666666667,0.543333333333333
46,"B_p40","quadratic",0.5,2,0.68611960547944,0.612075953128965,0.465196367385102,0.791381784352296,0.62,0.81
47,"B_p40","quadratic",0.5,3,0.776238238376868,0.983674729280436,0.876644900957533,0.876644900957533,0.97,0.85
48,"B_p40","quadratic",0.5,3,0.787276600872163,0.198333040859454,0.0440539311048449,0.0440539311048449,0.21,0.05
49,"B_p40","quadratic",0.5,2,0.698975536749366,0.232440057185172,0.087225870315103,0.235504977017469,0.276666666666667,0.253333333333333
50,"B_p40","quadratic",0.5,1,0.665663995327606,0.937582935256077,0.547715001029079,0.774104757176035,0.916666666666667,0.716666666666667
51,"B_p40","quadratic",0.5,1,0.624549807361655,0.845968552032508,0.755034607950573,0.706628230204918,0.853333333333333,0.653333333333333
52,"B_p40","quadratic",0.5,2,0.676308016637983,0.647129159726518,0.29399070854412,0.556304339778179,0.696666666666667,0.47
53,"B_p40","quadratic",0.5,2,0.669968886073365,0.152578533103083,0.160155547667515,0.370410279246943,0.186666666666667,0.31
54,"B_p40","quadratic",0.5,3,0.814640088018426,0.632872362983458,0.497181013945364,0.497181013945364,0.65,0.486666666666667
55,"B_p40","quadratic",0.5,2,0.704454233617755,0.301379905104575,0.429232781905895,0.520652418041341,0.316666666666667,0.49
56,"B_p40","quadratic",0.5,2,0.702143969346954,0.0567927191095738,0.100689943038194,0.0097220627397776,0.0533333333333333,0.01
57,"B_p40","quadratic",0.5,1,0.659606963246827,0.63901908272403,0.357329336577815,0.733967934959285,0.61,0.74
58,"B_p40","quadratic",0.5,3,0.782179468092186,0.0371267059303633,0.0111958409573968,0.0111958409573968,0.0433333333333333,0.0166666666666667
59,"B_p40","quadratic",0.5,1,0.655623183467592,0.343284229101275,0.269808035132738,0.242249378376027,0.363333333333333,0.173333333333333
60,"B_p40","quadratic",0.5,2,0.762408581191659,0.0732395812752713,0.53634949936521,0.106968546567876,0.11,0.126666666666667
61,"B_p40","quadratic",0.5,2,0.674587713586332,0.0527502523374672,0.0944968454169515,0.01004155151515,0.08,0.0133333333333333
62,"B_p40","quadratic",0.5,1,0.661816916143039,0.108986341692447,0.256142737390903,0.50142672751018,0.136666666666667,0.466666666666667
63,"B_p40","quadratic",0.5,3,0.779919683856745,0.0179525579200221,0.00560530378447988,0.00560530378447988,0.0333333333333333,0.0133333333333333
64,"B_p40","quadratic",0.5,2,0.708268300418638,0.573014177479483,0.636645820673688,0.275292695178693,0.556666666666667,0.276666666666667
65,"B_p40","quadratic",0.5,2,0.730206910294406,0.226722982489635,0.0551252096415772,0.165648587039262,0.323333333333333,0.203333333333333
66,"B_p40","quadratic",0.5,1,0.62059570026877,0.755647238502848,0.311312019586408,0.324272573358392,0.77,0.26
67,"B_p40","quadratic",0.5,2,0.705409035095426,0.775104071300508,0.826475234477401,0.586473610726179,0.82,0.583333333333333
68,"B_p40","quadratic",0.5,2,0.669098103976941,0.147741766374521,0.06408716030485,0.0243818445417974,0.16,0.02
69,"B_p40","quadratic",0.5,2,0.701492511965979,0.467780967216079,0.161264526382823,0.219038531935286,0.456666666666667,0.196666666666667
70,"B_p40","quadratic",0.5,3,0.788373027673922,0.0645373567091571,0.0342498627032534,0.0342498627032534,0.06,0.0133333333333333
71,"B_p40","quadratic",0.5,2,0.694738554622975,0.0866319193659132,0.0771726498219392,0.0343173170663498,0.0633333333333333,0.0166666666666667
72,"B_p40","quadratic",0.5,1,0.633658277954266,0.133975847805645,0.00746175122656778,0.164928096295005,0.186666666666667,0.166666666666667
73,"B_p40","quadratic",0.5,2,0.672597319617174,0.336014960089559,0.0548425112987456,0.0741138975399289,0.376666666666667,0.06
74,"B_p40","quadratic",0.5,3,0.792485214330532,0.56182365766589,0.594894316515334,0.594894316515334,0.536666666666667,0.56
75,"B_p40","quadratic",0.5,1,0.595256662572403,0.476324545177183,0.584846077552519,0.103358373671693,0.563333333333333,0.123333333333333
76,"B_p40","quadratic",0.5,2,0.733395683197761,0.024381569640111,0.0885713313917144,0.018730752408803,0.02,0.0233333333333333
77,"B_p40","quadratic",0.5,1,0.636670284450481,0.508219216093418,0.24822720591741,0.367819513738274,0.516666666666667,0.306666666666667
78,"B_p40","quadratic",0.5,1,0.642958434184146,0.409150016179635,0.0500104387010925,0.0610728217573766,0.343333333333333,0.02
79,"B_p40","quadratic",0.5,1,0.59374928323027,0.518028491454575,0.237892015772514,0.197638203480353,0.52,0.16
80,"B_p40","quadratic",0.5,3,0.791626637026705,0.00950637970656087,0.238986017692586,0.238986017692586,0.01,0.23
81,"B_p40","quadratic",0.5,1,0.666393861538007,0.694232351233425,0.990537477292675,0.276246934972489,0.733333333333333,0.25
82,"B_p40","quadratic",0.5,2,0.714148177307287,0.504433414183711,0.327699045138385,0.450125578841797,0.513333333333333,0.443333333333333
83,"B_p40","quadratic",0.5,2,0.674713959861415,0.0690030232683001,0.00533727134573603,0.00808025036019733,0.0733333333333333,0.0133333333333333
84,"B_p40","quadratic",0.5,1,0.546607061414478,0.442511708200661,0.712725779365531,0.817128957580413,0.44,0.776666666666667
85,"B_p40","quadratic",0.5,3,0.768830682140211,0.284012566134174,0.0670849042040742,0.0670849042040742,0.263333333333333,0.0633333333333333
86,"B_p40","quadratic",0.5,2,0.719540182746599,0.0477943752418215,0.00767627525018777,0.0215157451730292,0.0466666666666667,0.01
87,"B_p40","quadratic",0.5,2,0.672495762151002,0.0845894213195784,0.00510620550987584,0.0211058336640948,0.0933333333333333,0.0133333333333333
88,"B_p40","quadratic",0.5,2,0.71359430078323,0.0845405361664637,0.00302312018422324,0.0182745671621862,0.08,0.00333333333333333
89,"B_p40","quadratic",0.5,2,0.738950066976437,0.852251153275272,0.822482402155202,0.526801767796576,0.846666666666667,0.48
90,"B_p40","quadratic",0.5,1,0.610087543071831,0.405024405165524,0.0029341013664651,0.42700003360231,0.47,0.413333333333333
