"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
1,"B_p40","quadratic",1,1,0.623513624082262,0.309057585367755,0.841109470899907,0.0483489939518003,0.31,0.0266666666666667
2,"B_p40","quadratic",1,3,0.839140669263194,0.0387531370258023,0.00226303068301115,0.00226303068301115,0.02,0.00333333333333333
3,"B_p40","quadratic",1,2,0.669524761763845,0.00718371923765337,0.00363270929053527,0.0204039983890782,0.0133333333333333,0.0233333333333333
4,"B_p40","quadratic",1,3,0.805891567630765,0.59433564085545,0.252289903865672,0.252289903865672,0.606666666666667,0.22
5,"B_p40","quadratic",1,2,0.732716802440333,0.0198932583496634,0.00367436173808211,0.006158099671424,0.02,0.00666666666666667
6,"B_p40","quadratic",1,2,0.733704440020283,0.239817327333642,0.0682529094868285,0.200417465940596,0.213333333333333,0.126666666666667
7,"B_p40","quadratic",1,1,0.578168531517285,0.121436010218873,0.505014156446991,0.0742229523399908,0.0766666666666667,0.05
8,"B_p40","quadratic",1,2,0.671402137187858,0.0122868498965192,0.000618356886638471,0.00107232064473761,0.00333333333333333,0.00333333333333333
9,"B_p40","quadratic",1,1,0.618871394856085,0.10303138966327,0.709345619103489,0.0816110958122516,0.11,0.08
10,"B_p40","quadratic",1,1,0.574464928980743,0.490889094353504,0.172952349713477,0.197696359568576,0.5,0.22
11,"B_p40","quadratic",1,1,0.657723246419128,0.651174466528022,0.540725128074193,0.530163801686081,0.656666666666667,0.5
12,"B_p40","quadratic",1,1,0.643863401180459,0.00165245033347805,0.1790647858728,0.00548115017237949,0.00333333333333333,0.00333333333333333
13,"B_p40","quadratic",1,2,0.705169416368581,0.227051300610002,0.0167010988281231,0.0293976274619487,0.196666666666667,0.0266666666666667
14,"B_p40","quadratic",1,1,0.526950558020562,0.101032792539014,0.899725946685261,0.0171072801602605,0.08,0.0166666666666667
15,"B_p40","quadratic",1,1,0.64171178187169,0.534836352603017,0.774717934779096,0.424491838342281,0.493333333333333,0.34
16,"B_p40","quadratic",1,1,0.471569096106954,0.00727684386176541,0.726261251039003,0.000384282836120353,0.00666666666666667,0.00666666666666667
17,"B_p40","quadratic",1,2,0.706140322791327,0.00380626406699403,6.97935043565412e-05,0.000860986689138032,0.00333333333333333,0.00333333333333333
18,"B_p40","quadratic",1,1,0.617384551757079,0.0776127011433518,0.18960258052244,0.00524552232089115,0.0533333333333333,0.01
19,"B_p40","quadratic",1,2,0.703018218221345,0.70392531746106,0.14652851527006,0.386593818758065,0.666666666666667,0.346666666666667
20,"B_p40","quadratic",1,1,0.602310406686422,0.0397618845653951,0.559910944476374,0.0125470740235326,0.0433333333333333,0.01
21,"B_p40","quadratic",1,2,0.722185312676078,0.0357610934896291,0.0490167873178698,0.00401517592224043,0.0233333333333333,0.00666666666666667
22,"B_p40","quadratic",1,1,0.537160087093569,0.0234154426436283,0.578940018236555,0.00193725391547694,0.0366666666666667,0.00333333333333333
23,"B_p40","quadratic",1,1,0.635820505785569,0.0507454462012947,1.32501439383814e-05,0.00653867682793285,0.03,0.01
24,"B_p40","quadratic",1,1,0.571602720580321,0.00237753882148461,0.0193765870701412,0.00048223963032723,0.00333333333333333,0.00333333333333333
25,"B_p40","quadratic",1,1,0.534668100658207,0.489716368320278,0.569060955513522,0.282682892761995,0.483333333333333,0.21
26,"B_p40","quadratic",1,1,0.621890069966837,0.0126050130381687,0.556809099218117,0.00157674450141587,0.0166666666666667,0.00666666666666667
27,"B_p40","quadratic",1,1,0.476020971006208,0.593582128472198,0.161584064123559,0.550800380605799,0.523333333333333,0.4
28,"B_p40","quadratic",1,2,0.67270737747685,0.0241184378301703,0.164894566185619,0.027366427908368,0.03,0.01
29,"B_p40","quadratic",1,2,0.722333600087619,0.0126688764408159,0.00268842734358143,0.00476602767774081,0.00333333333333333,0.00333333333333333
30,"B_p40","quadratic",1,1,0.636783218738344,0.172410307989005,0.116623685650758,0.0394988417135539,0.173333333333333,0.0266666666666667
31,"B_p40","quadratic",1,1,0.597140081595504,0.196864825521129,0.854342711930811,0.0344642995003673,0.183333333333333,0.0233333333333333
32,"B_p40","quadratic",1,3,0.769410958499583,0.540784864323157,0.0816228114442342,0.0816228114442342,0.506666666666667,0.0433333333333333
33,"B_p40","quadratic",1,1,0.633358305254634,0.120128800391503,0.000196882738453641,0.0992048109686912,0.156666666666667,0.08
34,"B_p40","quadratic",1,2,0.687435311281728,0.0320112966276868,0.000873567723141289,0.00325874225604683,0.0166666666666667,0.00333333333333333
35,"B_p40","quadratic",1,1,0.485175499596267,0.119011610297894,0.688421740330867,0.0926337218968982,0.0933333333333333,0.07
36,"B_p40","quadratic",1,2,0.676073942180218,0.170505459551509,0.025275978561494,0.0277019530224654,0.16,0.05
37,"B_p40","quadratic",1,2,0.670726470973381,0.0061771260899488,0.00189587819762882,0.000781443916660463,0.01,0.00333333333333333
38,"B_p40","quadratic",1,1,0.572130182716815,0.000452418360746387,0.909715486712117,1.20234813947295e-05,0.00333333333333333,0.00333333333333333
39,"B_p40","quadratic",1,1,0.620190563350802,0.440809989954858,0.855557626874314,0.2431267642921,0.43,0.203333333333333
40,"B_p40","quadratic",1,1,0.621459371669492,0.00274652330115366,0.0012070562721449,0.000103831802731769,0.00333333333333333,0.00333333333333333
41,"B_p40","quadratic",1,1,0.54889276958749,0.000311589116256283,0.517289421165202,6.35617094557617e-06,0.00333333333333333,0.00333333333333333
42,"B_p40","quadratic",1,1,0.575719112154408,0.00458987076351025,0.00107774901688096,0.0032335820521836,0.01,0.00333333333333333
43,"B_p40","quadratic",1,2,0.696680548298697,0.106706619336211,0.0090012524790688,0.0197478471384791,0.0933333333333333,0.02
44,"B_p40","quadratic",1,2,0.745105445513785,0.0736535756098431,0.00141134567118151,0.00159541504171656,0.0733333333333333,0.00666666666666667
45,"B_p40","quadratic",1,1,0.526610175963905,0.362516230704039,0.271342742738531,0.0463138703256788,0.29,0.03
46,"B_p40","quadratic",1,1,0.572578540550506,0.014945993010009,0.0184497416238392,0.00199653241850295,0.0166666666666667,0.00333333333333333
47,"B_p40","quadratic",1,2,0.75618365630275,0.868826465695738,0.317712374494428,0.387939765028427,0.903333333333333,0.393333333333333
48,"B_p40","quadratic",1,1,0.65830526012946,0.30731708098562,0.170459018042071,0.176835708603051,0.286666666666667,0.09
49,"B_p40","quadratic",1,1,0.660749706865913,0.630516310744005,0.899077641959209,0.870877460977546,0.616666666666667,0.843333333333333
50,"B_p40","quadratic",1,1,0.639292474245734,0.326605605968365,0.167550433497427,0.0437166945029157,0.3,0.03
51,"B_p40","quadratic",1,1,0.641758890389403,0.300387106314338,0.244259071022791,0.0251855931780772,0.246666666666667,0.0166666666666667
52,"B_p40","quadratic",1,1,0.666383014169896,0.0268925884493114,0.082824939134846,0.0248683706013691,0.0266666666666667,0.02
53,"B_p40","quadratic",1,2,0.718296489485115,0.419260477889883,0.00839475073839113,0.0404315439884008,0.396666666666667,0.0166666666666667
54,"B_p40","quadratic",1,2,0.719976523972031,0.403882131930158,0.0487121478868662,0.171185325970553,0.39,0.126666666666667
55,"B_p40","quadratic",1,2,0.734648168693688,0.824337239575947,0.051481617927285,0.192501597036828,0.796666666666667,0.116666666666667
56,"B_p40","quadratic",1,1,0.663991141942539,0.0340561590824294,0.0921246045233637,0.00935006763038293,0.02,0.01
57,"B_p40","quadratic",1,1,0.535755621130814,0.00658277253770112,0.0760503069648036,0.000731228048809429,0.0133333333333333,0.00333333333333333
58,"B_p40","quadratic",1,1,0.64157529765236,0.0634517793131448,0.029769155109991,0.0019078585842025,0.06,0.00333333333333333
59,"B_p40","quadratic",1,2,0.756050343929348,0.608611969273925,0.0761205209915321,0.222022793299933,0.51,0.14
60,"B_p40","quadratic",1,2,0.745369492314878,0.395939680660802,0.00674641862426484,0.0224624832192131,0.376666666666667,0.02
61,"B_p40","quadratic",1,2,0.695269939203608,0.0034683335496688,0.000101752484550355,0.000414384941636259,0.00666666666666667,0.00333333333333333
62,"B_p40","quadratic",1,1,0.524958345336119,0.168846293987193,0.622818183460492,0.0969992745848705,0.15,0.0566666666666667
63,"B_p40","quadratic",1,2,0.670440781497842,0.285227171296502,0.0049606377803143,0.0234866323472331,0.29,0.01
64,"B_p40","quadratic",1,2,0.712212675595161,0.484886365930099,0.15456448876705,0.280587183493449,0.503333333333333,0.28
65,"B_p40","quadratic",1,2,0.672436362417873,0.212429874510496,0.0103313170827966,0.0418385820796329,0.2,0.0466666666666667
66,"B_p40","quadratic",1,1,0.608484859569195,0.0284065500362083,0.208214853740887,0.00216349935742466,0.0333333333333333,0.00333333333333333
67,"B_p40","quadratic",1,2,0.710978256598282,0.0247371990710847,0.117277956827818,0.0570983582239717,0.0166666666666667,0.0233333333333333
68,"B_p40","quadratic",1,1,0.631554267442282,0.248385335983943,0.870803527986352,0.170870109091298,0.233333333333333,0.14
69,"B_p40","quadratic",1,1,0.617527080101433,0.240585333252268,0.753253038608527,0.107299056275332,0.223333333333333,0.0666666666666667
70,"B_p40","quadratic",1,1,0.657763754889418,0.0498336135144704,0.656416968292095,0.00263232469068087,0.0366666666666667,0.00333333333333333
71,"B_p40","quadratic",1,1,0.666026678761514,0.0160266170736552,0.138666998510605,0.00326010268300658,0.01,0.00666666666666667
72,"B_p40","quadratic",1,2,0.670715537139206,0.760184066804841,0.134898538626192,0.261438586314525,0.743333333333333,0.2
73,"B_p40","quadratic",1,2,0.682076471472083,0.00199396173732935,8.48960439170376e-06,0.000150229497117182,0.00333333333333333,0.00333333333333333
74,"B_p40","quadratic",1,3,0.824573655160487,0.037541373982529,0.150472466608194,0.150472466608194,0.0333333333333333,0.103333333333333
75,"B_p40","quadratic",1,1,0.602191257396414,0.0222528774544266,0.818076960207419,0.00227403432494844,0.0266666666666667,0.00333333333333333
76,"B_p40","quadratic",1,2,0.723864738270617,0.291769710433732,0.0177333996416412,0.0531795333435925,0.273333333333333,0.0633333333333333
77,"B_p40","quadratic",1,1,0.626177472176491,0.184515998363436,0.341193572114796,0.0253734876702054,0.15,0.0166666666666667
78,"B_p40","quadratic",1,1,0.666904506265922,0.0137043979735691,0.894374970096938,0.0826459170777686,0.0133333333333333,0.0633333333333333
79,"B_p40","quadratic",1,1,0.46877636712769,0.639741258366023,0.187893686096624,0.0899978648628404,0.543333333333333,0.03
80,"B_p40","quadratic",1,2,0.705785500414446,0.000259620287490492,3.17484629905884e-05,0.000128552713437258,0.00333333333333333,0.00333333333333333
81,"B_p40","quadratic",1,2,0.701904758563583,0.674325591004412,0.130018110953074,0.196193702493029,0.643333333333333,0.15
82,"B_p40","quadratic",1,1,0.628701614893098,0.0396540964203722,0.897237809269131,0.0231605483713133,0.04,0.00666666666666667
83,"B_p40","quadratic",1,2,0.670876351280613,0.000641427491205437,0.000288117438740132,1.34237158089245e-05,0.00333333333333333,0.00333333333333333
84,"B_p40","quadratic",1,1,0.658859824017232,0.0940421147373056,0.886867332755843,0.0147786950564408,0.0766666666666667,0.0166666666666667
85,"B_p40","quadratic",1,2,0.700575623409799,0.145934112790717,0.0028872184952522,0.0092239855982964,0.123333333333333,0.00333333333333333
86,"B_p40","quadratic",1,2,0.681177963714738,0.0127608464331844,0.0271555542673545,0.109743315287858,0.0133333333333333,0.0866666666666667
87,"B_p40","quadratic",1,1,0.621249151239328,0.108867257070897,0.00916123634706334,0.00359354406923718,0.11,0.00666666666666667
88,"B_p40","quadratic",1,3,0.767859350095716,0.320021079804644,0.0310142121194893,0.0310142121194893,0.296666666666667,0.03
89,"B_p40","quadratic",1,2,0.707481051257767,0.190424922731381,0.0141933903377017,0.0673136917152855,0.163333333333333,0.0366666666666667
