"cell","dep","rel","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge","diff_hl","diff_ad","deg","rho_hat","R","B"
"A_p5","quadratic",0.5,0.3425,0.64,0.64,0.3275,0.6325,"+0.015 (0.008)","+0.007 (0.009)",3,0.92,400,299
"B_p100","quadratic",0.5,0.08,0.1075,0.0875,0.095,0.1525,"-0.015 (0.009)","-0.045 (0.019)",1,0.66,400,299
"B_p160","quadratic",0.5,0.0675,0.06,0.05,0.145,0.125,"-0.077 (0.013)","-0.065 (0.019)",1,0.63,400,299
"B_p40","quadratic",0.5,0.0975,0.1925,0.195,0.08,0.2175,"+0.018 (0.007)","-0.025 (0.021)",2,0.7,400,299
"A_p5","offindex",1,0.215,0.3525,0.3525,0.2,0.35,"+0.015 (0.008)","+0.002 (0.007)",3,0.91,400,299
"B_p100","offindex",1,0.04,0.0575,0.0375,0.0525,0.07,"-0.012 (0.006)","-0.012 (0.014)",1,0.65,400,299
"B_p160","offindex",1,0.0475,0.045,0.0225,0.1,0.065,"-0.052 (0.011)","-0.020 (0.015)",1,0.61,400,299
"B_p40","offindex",1,0.0275,0.0375,0.025,0.0275,0.0325,"+0.000 (0.006)","+0.005 (0.011)",2,0.67,400,299
"A_p5","quadratic",1,0.965,0.995,0.9975,0.95,0.9975,"+0.015 (0.006)","-0.002 (0.002)",3,0.9,400,299
"B_p100","quadratic",1,0.2325,0.165,0.32,0.3325,0.4575,"-0.100 (0.015)","-0.292 (0.027)",1,0.6,400,299
"B_p160","quadratic",1,0.1375,0.0825,0.14,0.2375,0.295,"-0.100 (0.015)","-0.212 (0.026)",1,0.53,400,299
"B_p40","quadratic",1,0.405,0.435,0.64,0.44,0.695,"-0.035 (0.010)","-0.260 (0.028)",1,0.66,400,299
"A_p5","offindex",1.5,0.3475,0.5175,0.5175,0.3375,0.5375,"+0.010 (0.009)","-0.020 (0.009)",3,0.88,400,299
"B_p100","offindex",1.5,0.045,0.04,0.0325,0.065,0.0625,"-0.020 (0.007)","-0.022 (0.016)",1,0.63,400,299
"B_p160","offindex",1.5,0.04,0.0525,0.0275,0.0975,0.0625,"-0.058 (0.012)","-0.010 (0.016)",1,0.58,400,299
"B_p40","offindex",1.5,0.0475,0.0225,0.0275,0.045,0.035,"+0.002 (0.006)","-0.012 (0.010)",1,0.65,400,299
"A_p5","quadratic",1.5,0.995,0.985,1,0.995,1,"+0.000 (0.000)","-0.015 (0.006)",3,0.86,400,299
"B_p100","quadratic",1.5,0.31,0.2025,0.4325,0.4325,0.615,"-0.122 (0.016)","-0.412 (0.027)",1,0.52,400,299
"B_p160","quadratic",1.5,0.1675,0.0775,0.1875,0.3025,0.3675,"-0.135 (0.017)","-0.290 (0.026)",1,0.44,400,299
"B_p40","quadratic",1.5,0.695,0.365,0.8275,0.7125,0.875,"-0.018 (0.009)","-0.510 (0.026)",1,0.6,400,299
