"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
1,"A_p5","quadratic",1.5,0,0.0286456309267632,0.0160887333160122,0,1.29390300605824e-15,TRUE,0,0,0.000288802517135922
2,"A_p5","quadratic",1.5,0,0.0246769310279098,0.00669650468468048,0,7.97977908659393e-13,TRUE,0,0,0.000117875149330926
3,"A_p5","quadratic",1.5,0,0.0126142508500772,0.00658955996499571,0,1.95699705377515e-11,TRUE,3.7677692021898e-08,2.63743393791316e-09,0.0152121723484571
4,"A_p5","quadratic",1.5,0,0.0223703364136271,0.039885996593449,0,1.61909659687125e-10,TRUE,8.5599369203937e-08,0,0.000321396958558484
5,"A_p5","quadratic",1.5,1.08331853532206e-06,0.126829133602175,0.0565001071445028,0,0.000125269340325366,TRUE,1.0141441100231e-06,4.81443669375636e-08,0.000340946090890526
6,"A_p5","quadratic",1.5,0,0.0353501794830776,0.0180068988506598,0,4.08197246449075e-15,TRUE,0,0,0.00334763685302875
7,"A_p5","quadratic",1.5,0,0.000357935633009041,0.00011704371563296,0,3.54390926977055e-08,TRUE,3.1853417603589e-07,3.15476091916622e-07,0.704987485695013
8,"A_p5","quadratic",1.5,0,0.13110448254117,0.0717750027920576,0,8.22156639298808e-12,TRUE,0,0,0.000642182433654215
9,"A_p5","quadratic",1.5,7.90890036461711e-07,0.0070818365825783,0.00317656498425757,0,4.15826199515088e-06,TRUE,4.2675387076363e-06,1.12360219239882e-07,0.00298415560570064
10,"A_p5","quadratic",1.5,1.71589378705761e-07,0.0108416964670678,0.00842935956107496,0,7.06736017731201e-07,TRUE,1.11372499073115e-05,7.31012472776627e-08,0.587681409173368
11,"A_p5","quadratic",1.5,0,0.0106297877630663,0.0180997311296387,0,7.42040639440582e-09,TRUE,0,0,0.00151831289153059
12,"A_p5","quadratic",1.5,4.55916988273408e-06,0.0856025265301908,0.0612317694291777,0,0.000113461859485049,TRUE,1.2370029869091e-05,5.34110697891776e-08,0.012130116739401
13,"A_p5","quadratic",1.5,0,0.0151140236990409,0.0161884746552435,0,7.44083121580769e-12,TRUE,0,0,0.000225068781214199
14,"A_p5","quadratic",1.5,0,0.273228279743133,0.153141615039665,0,1.45242835948398e-11,TRUE,0,0,0.00181300217501423
15,"A_p5","quadratic",1.5,0,0.0311671394892466,0.026783311869258,0,4.25555380109527e-10,TRUE,0,0,0.000184232268174211
16,"A_p5","quadratic",1.5,4.67516759750097e-08,0.168340696744236,0.133216063806516,0,3.02976495065999e-06,TRUE,3.51999660530566e-08,0,0.00240104014153886
17,"A_p5","quadratic",1.5,0,0.0969520674016593,0.0317422439602202,0,6.3399412757997e-11,TRUE,0,0,0.00273069890502087
18,"A_p5","quadratic",1.5,0.00190395898769113,0.0625597071087633,0.0582489949428722,0,0.0165992819050603,TRUE,0.00838484450904153,0.000131899858040407,0.000845843274200675
19,"A_p5","quadratic",1.5,0,0.0876149984213739,0.0313472197542405,0,6.90365656386068e-12,TRUE,0,0,0.000291361075042351
20,"A_p5","quadratic",1.5,0,0.0354402046177067,0.031498333039869,0,1.36409785551372e-06,TRUE,3.15168428022261e-08,0,0.00143888986251617
21,"A_p5","quadratic",1.5,7.89301075609927e-08,0.0778004183721254,0.032021899331524,0,4.76744061740945e-07,TRUE,1.43366251315058e-07,0,3.69064280247855e-07
22,"A_p5","quadratic",1.5,0,0.0900793048179404,0.0386112680959357,0,2.09574545795038e-08,TRUE,1.47725459864745e-07,0,0.0057126204527953
