"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
1,"B_p160","null",0,0,1.19611213497859e-13,5.48016108260136e-12,0,0.0018947002696384,FALSE,NA,NA,0.829806215328899
2,"B_p160","null",0,0,1.97071677892275e-09,6.2847344369524e-09,0,0.0547321230274056,FALSE,NA,NA,0.00728746559468862
3,"B_p160","null",0,0,3.92717692126642e-10,1.78757489330403e-09,0,0.0735526827437335,FALSE,NA,NA,0.0644654435767096
4,"B_p160","null",0,0,1.4284470728086e-09,3.88726288572635e-09,0,0.34089980289718,FALSE,NA,NA,0.0986672519572871
5,"B_p160","null",0,0,2.55662993570603e-12,4.23345527380195e-11,0,0.417445493232095,FALSE,NA,NA,0.0721500847056071
6,"B_p160","null",0,0,5.03866296169529e-12,9.84571097006326e-11,0,0.0526397982068171,FALSE,NA,NA,0.482070429048304
7,"B_p160","null",0,0,3.1973830015309e-14,5.05501303890627e-12,0,0.16983578578512,FALSE,NA,NA,0.727470915554971
8,"B_p160","null",0,0,6.03763683095669e-18,6.57215024553078e-15,0,0.000101566919453894,FALSE,NA,NA,1
9,"B_p160","null",0,2.05219070625873e-08,1.84086376451482e-10,1.90349514858314e-09,0,0.513886538933404,FALSE,NA,NA,0.969571341175646
10,"B_p160","null",0,0,6.96399041215751e-14,5.04146982471e-11,0,0.00594556488956121,FALSE,NA,NA,0.908982766514841
11,"B_p160","null",0,0,3.01389338834249e-13,7.79112741545027e-12,0,0.0172005608693278,FALSE,NA,NA,0.825800353450491
12,"B_p160","null",0,0,8.69383042581972e-11,6.64999513828985e-10,0,0.167728253448144,FALSE,NA,NA,1
13,"B_p160","null",0,0,4.42580684110818e-15,6.85990918007209e-13,0,0.012349798446218,FALSE,NA,NA,1
14,"B_p160","null",0,0,9.61962947736609e-11,5.46851033853107e-10,0,0.435992914686207,FALSE,NA,NA,0.144069904786494
15,"B_p160","null",0,0,1.3543886073535e-10,2.58883493678899e-09,0,0.496151345409085,FALSE,NA,NA,0.390874435360433
16,"B_p160","null",0,0,1.62166807168468e-11,5.76686374984739e-10,0,0.301182896124263,FALSE,NA,NA,0.333545420515418
17,"B_p160","null",0,0,1.19052483878788e-13,9.64382295872898e-12,0,0.0111469279591475,FALSE,NA,NA,0.440559397013336
18,"B_p160","null",0,0,1.9824960465861e-12,6.60167188224781e-11,0,0.27444945341897,FALSE,NA,NA,1
19,"B_p160","null",0,0,6.17779572704461e-11,1.92577906196213e-10,0,0.633610509193252,FALSE,NA,NA,0.991752328049164
20,"B_p160","null",0,0,4.06520090437416e-14,2.77834268538273e-12,0,0.424489586694692,FALSE,NA,NA,0.47375988368277
21,"B_p160","null",0,0,1.06348125932437e-09,5.89509856064981e-09,0,0.550780279521951,FALSE,NA,NA,0.212620892013104
