"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
1,"B_p160","offindex",1,0,4.24963374359071e-11,7.01431386755413e-05,0,0.545886447612607,FALSE,NA,NA,0.111693489466301
2,"B_p160","offindex",1,0,4.39244712369028e-09,1.18994322914351e-05,0,0.788425458367066,FALSE,NA,NA,0.40131574693336
3,"B_p160","offindex",1,0,5.24909250781774e-10,0.00016285495572645,0,0.221585951379153,FALSE,NA,NA,0.766941283295178
4,"B_p160","offindex",1,0,1.13866491651274e-11,6.2838274269882e-07,0,0.290749674432612,FALSE,NA,NA,0.288672944093387
5,"B_p160","offindex",1,0,1.38498391702271e-10,1.12125562919425e-05,0,0.685317717793317,FALSE,NA,NA,0.0466817661640015
6,"B_p160","offindex",1,0,3.4858050224678e-11,2.67273266034013e-06,0,0.0826962865810648,FALSE,NA,NA,0.1684061308664
7,"B_p160","offindex",1,0,8.03426299095506e-10,0.000347586709505703,0,0.630659770392898,FALSE,NA,NA,0.325344384174603
8,"B_p160","offindex",1,0,1.36904761995783e-17,3.52730710823736e-08,0,0.00776925701612808,FALSE,NA,NA,0.607975378840472
9,"B_p160","offindex",1,0,2.52033240650365e-10,1.36070500029198e-06,0,0.181529634317267,FALSE,NA,NA,0.0460245525223224
10,"B_p160","offindex",1,0,4.20168347304491e-13,3.86007463255155e-07,0,0.0579594364494337,FALSE,NA,NA,0.135004645480486
11,"B_p160","offindex",1,0,1.00886761408814e-10,1.1384766289546e-05,0,0.23669290597834,FALSE,NA,NA,0.234851718528612
12,"B_p160","offindex",1,2.44690731010522e-08,1.06182616689499e-08,0.000532133518633566,0,0.123996134028207,FALSE,NA,NA,0.271466045609105
13,"B_p160","offindex",1,0,8.38248362338534e-13,4.66963311152061e-07,0,0.16902731040335,FALSE,NA,NA,0.583747630503063
14,"B_p160","offindex",1,0,4.27698944806905e-11,1.42889543226274e-06,0,0.187140970548056,FALSE,NA,NA,0.1857872349369
15,"B_p160","offindex",1,0,2.53545198776191e-10,0.000331494787610757,0,0.0202701412064471,FALSE,NA,NA,0.028772521634278
16,"B_p160","offindex",1,0,3.62621163375125e-11,6.21395925135473e-06,0,0.864555987498588,FALSE,NA,NA,0.458220799780436
17,"B_p160","offindex",1,0,2.33130740116986e-09,0.000136129401905173,0,0.842246877743588,FALSE,NA,NA,0.0456360242539549
18,"B_p160","offindex",1,0,3.96342608784322e-11,4.76580290044229e-07,0,0.637530541444285,FALSE,NA,NA,0.035124975212369
19,"B_p160","offindex",1,0,2.98536051349847e-10,0.000363327625822765,0,0.589634128774773,FALSE,NA,NA,0.149486456220302
20,"B_p160","offindex",1,0,9.52420209592626e-11,2.43491806262013e-05,0,0.822636394802532,FALSE,NA,NA,0.0241385428796879
21,"B_p160","offindex",1,0,5.24879787836403e-09,0.000163088840736084,0,0.43555952034187,FALSE,NA,NA,1
22,"B_p160","offindex",1,0,2.25058822445947e-09,2.65552336992122e-07,0,0.665002832357826,FALSE,NA,NA,0.186373963982171
23,"B_p160","offindex",1,0,2.97536972907255e-11,9.2941439556466e-06,0,0.527401646442488,FALSE,NA,NA,0.368344527903638
24,"B_p160","offindex",1,0,3.9666195758227e-11,1.39701509098299e-05,0,0.328624487685015,FALSE,NA,NA,0.19938913571809
25,"B_p160","offindex",1,0,2.59270102278731e-10,6.32439661685781e-06,0,0.0848649354863198,FALSE,NA,NA,0.210813997813312
26,"B_p160","offindex",1,0,1.29809887820225e-11,2.22997148934368e-07,0,0.533981881685886,FALSE,NA,NA,0.0493593911571983
27,"B_p160","offindex",1,0,4.64363779288424e-13,2.74013454345422e-06,0,0.53163933579412,FALSE,NA,NA,0.247771463104174
28,"B_p160","offindex",1,0,1.6050713842828e-11,0.000333467429346787,0,0.0374972033685249,FALSE,NA,NA,0.0249426909489783
29,"B_p160","offindex",1,0,1.66729414629435e-12,9.70680596704518e-07,0,0.548482887257182,FALSE,NA,NA,0.0391423918226541
30,"B_p160","offindex",1,0,9.92495848930649e-11,1.49444129339472e-06,0,0.0538798760130568,FALSE,NA,NA,0.0432676179310312
31,"B_p160","offindex",1,0,1.30959440534158e-09,2.99996052083736e-07,0,0.281065562139957,TRUE,0.274506995205631,0.989894495990379,0.00321880346753578
