"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
1,"B_p160","quadratic",1,0,2.18770473580337e-11,2.89313157036639e-07,0,0.983014392329878,FALSE,NA,NA,0.314818776551474
2,"B_p160","quadratic",1,0,3.08159686915217e-08,8.45587240338334e-05,0,0.77440287249894,TRUE,0.000704479539229474,0.0193251932218192,0.0265643633282522
3,"B_p160","quadratic",1,0,4.15447670802489e-11,1.97335467788449e-09,0,0.101041409505576,FALSE,NA,NA,0.307173085435909
4,"B_p160","quadratic",1,4.22888383755371e-08,1.2370229738948e-08,2.32024549517442e-06,0,0.492391798521916,FALSE,NA,NA,0.0981546175858616
5,"B_p160","quadratic",1,0,3.61576309869202e-11,4.20014783956041e-07,0,0.104821170932143,FALSE,NA,NA,0.308542197816961
6,"B_p160","quadratic",1,0,7.01212024440844e-11,3.84798652668945e-07,0,0.00803757781332024,FALSE,NA,NA,0.28503015968292
7,"B_p160","quadratic",1,0,4.31950490927474e-10,1.4605097804179e-07,0,0.478025265143967,FALSE,NA,NA,0.0656612457414461
8,"B_p160","quadratic",1,0,9.32656377956431e-10,3.19635822532741e-09,0,0.365668371976505,FALSE,NA,NA,0.309612796965155
9,"B_p160","quadratic",1,0,1.72805194872571e-09,1.6896481038672e-08,0,0.00380585189933918,FALSE,NA,NA,0.899517506904027
10,"B_p160","quadratic",1,0,9.72148788167328e-11,1.30739796232321e-09,0,0.0682426978469587,FALSE,NA,NA,0.407246438231901
11,"B_p160","quadratic",1,0,5.08056378904146e-08,4.82000705297915e-05,0,0.262272112538497,FALSE,NA,NA,0.0636785068226691
12,"B_p160","quadratic",1,0,4.68359872287891e-10,8.5214453119491e-08,0,0.0373495958264764,FALSE,NA,NA,0.766384601810513
13,"B_p160","quadratic",1,0,1.14012233293645e-10,1.50099584247482e-07,0,0.413405198394103,FALSE,NA,NA,0.241414356276545
14,"B_p160","quadratic",1,0,4.40705233767547e-10,1.29088098260201e-07,0,0.018193329288971,FALSE,NA,NA,0.126773013181545
15,"B_p160","quadratic",1,0,6.91306801550915e-08,1.53175745339054e-06,0,0.00450912916187699,TRUE,0.00831426538531044,0.0320046108689653,0.277438373214431
16,"B_p160","quadratic",1,0,1.84001716096128e-11,2.30996808530346e-10,0,0.766956730287988,FALSE,NA,NA,0.533106880802532
17,"B_p160","quadratic",1,0,1.46974539998042e-09,9.08563773669617e-07,0,0.332625230345624,FALSE,NA,NA,1
18,"B_p160","quadratic",1,0,2.86367249032317e-10,7.33680289832665e-05,0,0.031587613710055,TRUE,0.402667449812773,0.221169895805445,0.117974790182896
19,"B_p160","quadratic",1,0,1.80856927080292e-08,0.000128979336730455,0,0.00275482705037149,FALSE,NA,NA,0.359583035812961
20,"B_p160","quadratic",1,0,1.06163358627009e-10,5.40948214225171e-07,0,0.768221238599537,FALSE,NA,NA,0.241365485148559
21,"B_p160","quadratic",1,0,3.12655513265314e-09,3.24780991947076e-05,0,0.450432246466664,FALSE,NA,NA,0.195485171469252
