"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
1,"B_p40","quadratic",0.5,2.5461013533401e-05,1.39465432884871e-06,1.93106416061953e-06,0,0.168560635798575,TRUE,0.534557049946221,0.288879165280674,0.677693106380888
2,"B_p40","quadratic",0.5,8.67791456082845e-06,8.9410457637025e-06,3.44999286429317e-05,0,0.000817802780777966,TRUE,0.000122340797961362,3.92834204698822e-06,0.792913033313351
3,"B_p40","quadratic",0.5,0.000131248201803436,1.62736050475101e-06,2.42172149973893e-06,0,0.0560867368834203,TRUE,0.293575810058838,0.108655653108746,0.184544313123466
4,"B_p40","quadratic",0.5,0.000490433722361461,1.10240441607818e-06,6.63406199398821e-05,0,0.0848413095649794,TRUE,0.608030092998569,0.476889545283704,1
5,"B_p40","quadratic",0.5,1.07931361592595e-06,5.97967188638085e-06,1.63729591505086e-05,0,0.0109392640908245,TRUE,0.0341100570391655,0.00287232865398801,0.542752419100026
6,"B_p40","quadratic",0.5,6.0667513211099e-05,1.57190253987752e-06,6.56341802278549e-06,0,0.0186518017031129,TRUE,0.321597047655314,0.351572897430375,1
7,"B_p40","quadratic",0.5,3.93205732225343e-05,4.85855989933208e-06,9.16738224995653e-06,0,0.22710767990714,TRUE,0.0678086647908622,0.284909939365991,0.497179986496277
8,"B_p40","quadratic",0.5,2.59726206650601e-05,7.30291945220497e-08,9.58113245363986e-08,0,0.0119845815355925,TRUE,0.413701189807101,0.364091619617606,0.98990838239947
9,"B_p40","quadratic",0.5,0.000372323841301148,1.24482885095838e-05,0.000477301660267415,0,0.0415696947774654,TRUE,0.00149828793050844,0.0027376225717971,0.79991313660401
10,"B_p40","quadratic",0.5,8.90513207019161e-06,2.60089891436282e-08,7.98884723308314e-08,0,0.0031570989764521,TRUE,0.000384165957388993,0.000109336082295686,0.96434782112805
11,"B_p40","quadratic",0.5,5.12592863901595e-05,9.321060318166e-07,3.0765418934402e-05,0,0.0549785093735764,TRUE,0.0857898235574573,0.00513379087302046,0.656632934877372
