"cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_hl","mle_edge","grp","mle_exists","unc_hl_adj","calslope_adj","spieg_adj","uss_adj","cvhl_adj","mle_hl_adj","mle_edge_adj","grp_adj","R"
"A_p5","null",0,0.933333333333333,1,1,1,0.593333333333333,0.0666666666666667,0.0533333333333333,0.00333333333333333,1,0.05,0.05,0.05,1,0.05,0.05,0.05,0.05,300
"A_p5","offindex",1,0.866666666666667,0.986666666666667,0.993333333333333,1,0.583333333333333,0.266666666666667,0.413333333333333,0.456666666666667,1,0.07,0.00666666666666667,0.00666666666666667,1,0.106666666666667,0.233333333333333,0.393333333333333,0.7,300
"A_p5","offindex",1.5,0.853333333333333,0.863333333333333,0.97,1,0.56,0.356666666666667,0.56,0.896666666666667,1,0.1,0,0,1,0.15,0.333333333333333,0.546666666666667,0.986666666666667,300
"A_p5","quadratic",0.5,0.98,0.996666666666667,1,1,0.83,0.39,0.65,0.02,1,0.216666666666667,0.0333333333333333,0.04,1,0.303333333333333,0.36,0.623333333333333,0.116666666666667,300
"A_p5","quadratic",1,1,0.933333333333333,0.963333333333333,1,0.993333333333333,0.983333333333333,0.996666666666667,0.406666666666667,1,0.84,0,0.00333333333333333,1,0.873333333333333,0.97,0.996666666666667,0.66,300
"A_p5","quadratic",1.5,1,0.7,0.8,1,0.996666666666667,0.996666666666667,1,0.876666666666667,1,0.983333333333333,0,0,1,0.983333333333333,0.996666666666667,1,0.96,300
"B_p100","null",0,1,1,1,1,0.42,0.326164874551971,0.236559139784946,0.00666666666666667,0.93,0.28,0.05,0.05,1,0.05,0.0501792114695341,0.0501792114695341,0.05,300
"B_p100","offindex",1,1,1,1,1,0.23,0.26027397260274,0.191780821917808,0.246666666666667,0.973333333333333,0.113333333333333,0.00666666666666667,0,1,0.02,0.0547945205479452,0.0342465753424658,0.486666666666667,300
"B_p100","offindex",1.5,1,1,0.986666666666667,1,0.176666666666667,0.283276450511945,0.215017064846416,0.42,0.976666666666667,0.0866666666666667,0.00333333333333333,0,1,0.0133333333333333,0.068259385665529,0.0409556313993174,0.66,300
"B_p100","quadratic",0.5,1,1,1,1,0.366666666666667,0.462068965517241,0.410344827586207,0.02,0.966666666666667,0.29,0.0166666666666667,0.01,1,0.0366666666666667,0.137931034482759,0.113793103448276,0.103333333333333,300
"B_p100","quadratic",1,1,1,0.996666666666667,1,0.366666666666667,0.556666666666667,0.533333333333333,0.0666666666666667,1,0.253333333333333,0,0,1,0.08,0.196666666666667,0.196666666666667,0.226666666666667,300
"B_p100","quadratic",1.5,1,1,0.983333333333333,1,0.483333333333333,0.433333333333333,0.453333333333333,0.126666666666667,1,0.213333333333333,0,0,1,0.143333333333333,0.0933333333333333,0.11,0.336666666666667,300
"B_p160","null",0,1,1,1,1,0.25,NA,NA,0.0433333333333333,0,0.99,0.05,0.05,1,0.05,NA,NA,0.05,300
"B_p160","offindex",1,1,1,1,1,0.14,0.666666666666667,0.333333333333333,0.253333333333333,0.01,0.963333333333333,0.01,0,1,0.02,NA,NA,0.283333333333333,300
"B_p160","offindex",1.5,1,1,1,1,0.113333333333333,0.75,0.25,0.34,0.0133333333333333,0.973333333333333,0.00666666666666667,0,1,0.00666666666666667,NA,NA,0.376666666666667,300
"B_p160","quadratic",0.5,1,1,1,1,0.203333333333333,1,1,0.0566666666666667,0.0133333333333333,0.993333333333333,0.0133333333333333,0.00666666666666667,1,0.0366666666666667,NA,NA,0.07,300
"B_p160","quadratic",1,1,1,1,1,0.266666666666667,0.630434782608696,0.630434782608696,0.09,0.153333333333333,0.976666666666667,0,0,1,0.0766666666666667,NA,NA,0.12,300
"B_p160","quadratic",1.5,1,1,1,1,0.343333333333333,0.766233766233766,0.662337662337662,0.07,0.256666666666667,0.933333333333333,0,0,1,0.11,NA,NA,0.0966666666666667,300
"B_p40","null",0,1,1,1,1,0.716666666666667,0.0966666666666667,0.0666666666666667,0.00666666666666667,1,0.05,0.05,0.05,1,0.05,0.05,0.05,0.05,300
"B_p40","offindex",1,1,1,0.953333333333333,1,0.4,0.0866666666666667,0.0733333333333333,0.556666666666667,1,0.00333333333333333,0,0,1,0,0.0566666666666667,0.0566666666666667,0.843333333333333,300
"B_p40","offindex",1.5,0.993333333333333,1,0.663333333333333,1,0.333333333333333,0.08,0.06,0.806666666666667,1,0.00333333333333333,0,0,1,0.00666666666666667,0.0466666666666667,0.0333333333333333,0.97,300
"B_p40","quadratic",0.5,1,1,1,1,0.696666666666667,0.496666666666667,0.616666666666667,0.01,1,0.0433333333333333,0.0133333333333333,0.00333333333333333,1,0.0566666666666667,0.41,0.576666666666667,0.106666666666667,300
"B_p40","quadratic",1,1,1,0.983333333333333,1,0.74,0.883333333333333,0.956666666666667,0.0833333333333333,1,0.0933333333333333,0,0,1,0.14,0.82,0.946666666666667,0.363333333333333,300
"B_p40","quadratic",1.5,1,0.996666666666667,0.773333333333333,1,0.826666666666667,0.846666666666667,0.943333333333333,0.296666666666667,1,0.233333333333333,0,0,1,0.276666666666667,0.81,0.92,0.676666666666667,300
