"cell","grouping","defl_dec","size_dec","size_dec_nc","defl_edge","size_edge","size_edge_nc","meanv2","delta2","R"
"A_p5_lam100","fitted",1.00005895960273,0.05,0.05,0.954337976696693,0.0425,0.04,0.0858034648735924,0.0338212281592954,400
"A_p5_lam100","heavyx5",1.01664685007856,0.0375,0.035,0.959329136820659,0.03,0.03,0.0981365165991823,0.0335616742738271,400
"A_p5_lam100","heavyx20",1.03341251351538,0.0475,0.045,0.963161880227348,0.0375,0.0375,0.100266384461604,0.033443704920651,400
"A_p5_lam100","heavyx100",1.02124636859842,0.0475,0.045,0.970614198805546,0.0375,0.0375,0.0957308238634803,0.0333965094205397,400
"A_p5_lam100","pc1",1.03525866672134,0.0675,0.0675,1.00436297804988,0.055,0.055,0.00662953442009137,0.00387966406647052,400
"A_p5_lam100","oracleX",0.990032317419107,0.035,0.035,0.987176878764957,0.0425,0.0425,0.096217618913972,0.0282008600215351,400
"B_p100_lam416","fitted",1.040999384242,0.065,0.0575,1.05445611398703,0.08,0.075,0.282614684204118,0.0330033777074665,400
"B_p100_lam416","heavyx5",1.03453226544814,0.045,0.04,1.00077696749508,0.05,0.0475,0.159241897019621,0.03458197064602,400
"B_p100_lam416","heavyx20",1.00624440135695,0.0575,0.055,1.01596246165772,0.0575,0.0575,0.150595597987883,0.0339595867644154,400
"B_p100_lam416","heavyx100",0.99059566651113,0.0325,0.03,0.993343533654401,0.0525,0.05,0.133290724797242,0.033864445500916,400
"B_p100_lam416","pc1",0.988648518743479,0.065,0.0625,1.0237175765053,0.0575,0.0575,0.00223806001788676,0.0215249453716922,400
"B_p100_lam416","oracleX",1.02661089528837,0.07,0.07,0.999540376791781,0.0525,0.05,0.0767028149041488,0.0302885149530845,400
"B_p160_lam416","fitted",1.07953935058886,0.055,0.0525,1.19684100265545,0.085,0.085,0.41291112423822,0.0374429170394948,400
"B_p160_lam416","heavyx5",1.01615331631248,0.05,0.045,0.979608079568348,0.0475,0.045,0.155725278069817,0.0389607170501432,400
"B_p160_lam416","heavyx20",1.02211879378415,0.055,0.0475,0.962724570170108,0.05,0.0475,0.119591340208159,0.0400876753090808,400
"B_p160_lam416","heavyx100",1.01825588126069,0.065,0.0625,0.962491889467957,0.04,0.04,0.112765780391217,0.0400234949083965,400
"B_p160_lam416","pc1",0.97453197750444,0.0375,0.035,0.985637369149496,0.04,0.04,0.0069149516915203,0.0320808439059976,400
"B_p160_lam416","oracleX",0.970717150310782,0.045,0.045,0.988079189898867,0.055,0.05,0.0675903575221636,0.0367297067439672,400
