"rep","cell","pen","S_unc","S_dec","S_edge","tr","p_unc","p_R0","p_R2","pe_unc","pe_R0","pe_R2","nb","nbt"
1,"A_p5","ridge",13.1806976670103,2.69840471059825,1.09115573848055,7.97132428095845,0.103455047848709,0.952604205546981,0.943722461264367,0.00291507150056858,0.588916952389467,0.545865055968229,0.341615888996775,0.642392227237416
2,"A_p5","ridge",15.8044862559712,6.59408712155375,0.740520261895142,7.98560881465248,0.0442771090815618,0.580421400441618,0.540257593193243,0.00712421682342279,0.702238629842461,0.66846986808536,0.332538588388176,0.643434335460541
3,"A_p5","ridge",27.614014995617,8.24444858096553,0.804875862320286,7.96376396293428,0.000511793315315257,0.406325971081698,0.323106101846185,4.00814725520782e-05,0.677719281596886,0.607752278236551,0.477426267235217,0.898893665085302
4,"A_p5","ridge",26.1973140045352,10.1512060000375,2.8759990293725,7.97770120817336,0.000913517433443145,0.251975551476004,0.188625431014308,7.51816895740998e-05,0.240163223990485,0.168358056573616,0.460090356320717,0.858757089973786
5,"A_p5","ridge",19.359532393025,3.71782938855077,0.880940716758549,7.97540367471017,0.0125296190721517,0.882344123045028,0.85194587642462,0.000252514487666056,0.654913757195167,0.595889476922721,0.423169668806736,0.813721704220845
6,"A_p5","ridge",24.7984277720028,8.85171747483309,0.478311779589078,7.97695092647124,0.00159014481439068,0.352434099425939,0.294618075724238,0.000253668237650828,0.799538189026224,0.761733334841918,0.405285499688044,0.782282985077618
7,"A_p5","ridge",19.4823591613745,4.93534994664223,0.56728379843532,7.96408101598014,0.0118133884344021,0.763890781246849,0.722590830317961,0.00047599008072774,0.76747605999115,0.727863845529002,0.3857388684545,0.756425627353412
8,"A_p5","ridge",18.1925835858479,6.76186517769419,0.578076470283277,7.98503222842616,0.0192480440542615,0.561806911453724,0.509794434333343,0.00244778610672769,0.762985166886376,0.726043033381795,0.374077557934795,0.725046315688942
9,"A_p5","ridge",29.7834944084897,11.2962291198068,8.23052118891049,7.9769530927455,0.00021454844180846,0.183000537018266,0.133367518612729,1.53449648276904e-06,0.0163355913208718,0.00617764705310164,0.443676406611679,0.840606942459584
10,"A_p5","ridge",17.2162199655866,8.15789129777478,1.92034331141281,7.93776035357525,0.0263426025113592,0.412018046884268,0.361350700069459,0.00393558808972139,0.384296576458083,0.333096938460318,0.364975526478891,0.694750095435605
