"cell","deg","rel","p_dec","p_e1","p_e2","p_e3","rho_hat","R"
"A_p5",0,0,0.042,0.052,0.05,0.052,0.935957408034335,500
"B_p100",0,0,0.074,0.068,0.032,0.078,0.692276601780095,500
"B_p40",0,0,0.054,0.062,0.024,0.048,0.711005072728622,500
"A_p5",2,1,0.968,0.348,0.998,0.998,0.902797840423769,500
"B_p100",2,1,0.36,0.15,0.51,0.492,0.612442297565017,500
"B_p40",2,1,0.466,0.16,0.752,0.712,0.666643760217909,500
"A_p5",3,1,0.356,0.146,0.05,0.558,0.861873356635955,500
"B_p100",3,1,0.078,0.054,0.038,0.064,0.526633518260429,500
"B_p40",3,1,0.06,0.044,0.05,0.058,0.619307809573204,500
"A_p5",2,1.5,0.996,0.402,1,1,0.87025776324907,500
"B_p100",2,1.5,0.468,0.14,0.704,0.65,0.540680285982162,500
"B_p40",2,1.5,0.73,0.17,0.92,0.884,0.616007031680532,500
"A_p5",3,1.5,0.502,0.282,0.076,0.682,0.747599466566327,500
"B_p100",3,1.5,0.104,0.066,0.068,0.074,0.380993220493739,500
"B_p40",3,1.5,0.058,0.054,0.064,0.088,0.494675217550823,500
