"cell","dep","rel","calm_hl","calm_edge","pp_hl","pp_edge","grp","mle_hl","mle_edge","cvhl","calslope","spieg","uss","unc_hl","mle_ok","calm_hl_adj","calm_edge_adj","pp_hl_adj","pp_edge_adj","grp_adj","mle_hl_adj","mle_edge_adj","cvhl_adj","calslope_adj","spieg_adj","uss_adj","unc_hl_adj"
"fixed p (κ = 0.01)","null",0,0.05,0.0425,0.044,0.046,0.00333333333333333,0.0666666666666667,0.0533333333333333,0.593333333333333,1,1,1,0.933333333333333,1,0.05,0.05,0.056,0.05,0.05,0.05,0.05,0.05,0.05,0.05,NA,0.05
"fixed p (κ = 0.01)","offindex",1,0.215,0.3525,0.2,0.35,0.456666666666667,0.266666666666667,0.413333333333333,0.583333333333333,0.986666666666667,0.993333333333333,1,0.866666666666667,1,0.2175,0.4125,0.2375,0.375,0.7,0.233333333333333,0.393333333333333,0.106666666666667,0.00666666666666667,0.00666666666666667,NA,0.07
"fixed p (κ = 0.01)","offindex",1.5,0.3475,0.5175,0.3375,0.5375,0.896666666666667,0.356666666666667,0.56,0.56,0.863333333333333,0.97,1,0.853333333333333,1,0.355,0.5925,0.3675,0.555,0.986666666666667,0.333333333333333,0.546666666666667,0.15,0,0,NA,0.1
"fixed p (κ = 0.01)","quadratic",0.5,0.3425,0.64,0.3275,0.6325,0.02,0.39,0.65,0.83,0.996666666666667,1,1,0.98,1,0.345,0.7025,0.3625,0.6725,0.116666666666667,0.36,0.623333333333333,0.303333333333333,0.0333333333333333,0.04,NA,0.216666666666667
"fixed p (κ = 0.01)","quadratic",1,0.965,0.9975,0.95,0.9975,0.406666666666667,0.983333333333333,0.996666666666667,0.993333333333333,0.933333333333333,0.963333333333333,1,1,1,0.965,0.9975,0.965,0.9975,0.66,0.97,0.996666666666667,0.873333333333333,0,0.00333333333333333,NA,0.84
"fixed p (κ = 0.01)","quadratic",1.5,0.995,1,0.995,1,0.876666666666667,0.996666666666667,1,0.996666666666667,0.7,0.8,1,1,1,0.995,1,0.995,1,0.96,0.996666666666667,1,0.983333333333333,0,0,NA,0.983333333333333
"κ = 0.10","null",0,0.0525,0.0325,0.05,0.042,0.00666666666666667,0.0966666666666667,0.0666666666666667,0.716666666666667,1,1,1,1,1,0.05,0.05,0.05,0.054,0.05,0.05,0.05,0.05,0.05,0.05,NA,0.05
"κ = 0.10","offindex",1,0.0275,0.0225,0.0275,0.0325,0.556666666666667,0.0866666666666667,0.0733333333333333,0.4,1,0.953333333333333,1,1,1,0.0225,0.035,0.03,0.0425,0.843333333333333,0.0566666666666667,0.0566666666666667,0,0,0,NA,0.00333333333333333
"κ = 0.10","offindex",1.5,0.0475,0.02,0.045,0.035,0.806666666666667,0.08,0.06,0.333333333333333,1,0.663333333333333,1,0.993333333333333,1,0.0475,0.03,0.0475,0.0375,0.97,0.0466666666666667,0.0333333333333333,0.00666666666666667,0,0,NA,0.00333333333333333
"κ = 0.10","quadratic",0.5,0.0975,0.2325,0.08,0.2175,0.01,0.496666666666667,0.616666666666667,0.696666666666667,1,1,1,1,1,0.095,0.2925,0.0825,0.2425,0.106666666666667,0.41,0.576666666666667,0.0566666666666667,0.0133333333333333,0.00333333333333333,NA,0.0433333333333333
"κ = 0.10","quadratic",1,0.405,0.7075,0.44,0.695,0.0833333333333333,0.883333333333333,0.956666666666667,0.74,1,0.983333333333333,1,1,1,0.395,0.7825,0.4525,0.7125,0.363333333333333,0.82,0.946666666666667,0.14,0,0,NA,0.0933333333333333
"κ = 0.10","quadratic",1.5,0.695,0.895,0.7125,0.875,0.296666666666667,0.846666666666667,0.943333333333333,0.826666666666667,0.996666666666667,0.773333333333333,1,1,1,0.6875,0.91,0.725,0.8825,0.676666666666667,0.81,0.92,0.276666666666667,0,0,NA,0.233333333333333
