"rep","case","recal","ece","slope","intercept","brier","mae_true","auc","hl_heldout_p","sc_edge_p","sc_hl_p"
1,"correct","oracle",0.0117952903845121,0.982061759046315,0.0328296207457718,0.220428465983137,0,0.696798166422074,0.0461973608497343,NA,NA
1,"correct","none",0.076360477377749,2.30831101420164,0.213489527275306,0.229408421575794,0.0809994388726589,0.695589208008425,8.38070638490523e-08,0.97,0.45
1,"correct","linear",0.03536468611083,0.884399711778337,0.148127823103274,0.222277775485403,0.0306578384929168,0.695589208008425,0.000115120613588846,0.97,0.45
1,"correct","flexible",0.0498064568491634,0.550907611134761,0.161550202489586,0.226277300088231,0.0489962340302921,0.695589208008425,2.50539330666331e-33,0.97,0.45
1,"index","oracle",0.0131368367576323,1.02209044549204,-0.00434066623667406,0.227382756167656,0,0.654618505221095,0.475876989449821,NA,NA
1,"index","none",0.0396160179671999,1.72227202075819,-0.108842003434388,0.234117913485426,0.0506614880515208,0.647990320414566,0.0117389533113235,0.275,0.73
1,"index","linear",0.0342432750628543,1.11142032306144,-0.0774531362393637,0.231669020916128,0.0517629889676656,0.647990320414566,0.198107639308948,0.275,0.73
1,"index","flexible",0.0355632143027471,0.805033051695783,-0.0694547668089861,0.232673432037043,0.0507306307350506,0.619698339160773,0.708548401117347,0.275,0.73
1,"offindex","oracle",0.00841765184540381,1.04439837048463,0.00583157310870842,0.210113557487552,0,0.727301739494207,0.862203064346666,NA,NA
1,"offindex","none",0.0477581599526054,1.59069694641257,0.0610196879894749,0.231303873107236,0.105793610360471,0.667207611987893,0.000785185128983184,0.24,0.615
1,"offindex","linear",0.0349709844948937,0.99932720350649,0.152940255555284,0.229994736370662,0.0984313070710406,0.667207611987893,0.023171039596889,0.24,0.615
1,"offindex","flexible",0.0365825052164487,0.880176477982316,0.148466415331482,0.23113348123232,0.10197756271811,0.663691912461891,0.0235644221718316,0.24,0.615
2,"correct","oracle",0.00673126523773019,1.0039226333654,0.00102837412674395,0.219491443850343,0,0.69953131192501,0.77354051399934,NA,NA
2,"correct","none",0.062653701823482,1.86121587413313,0.151930134955253,0.225777920256605,0.0666591498926957,0.697068411530946,0.00603477243467098,0.34,0.84
2,"correct","linear",0.00762750548895963,0.988571661976092,0.0229186016508474,0.220250815745746,0.0210963866683466,0.697068411530946,0.729406591058805,0.34,0.84
2,"correct","flexible",0.0263130912396497,0.833841853960749,0.0374540972720281,0.221877463116519,0.036875767202192,0.697068411530946,0.703243897907985,0.34,0.84
2,"index","oracle",0.00779090628193406,1.00126040881322,-0.011808597678506,0.229145658133582,0,0.644686837620585,0.886193847788403,NA,NA
2,"index","none",0.0476320318849653,1.60233195572339,0.224983636629642,0.23589378720268,0.0609401105483884,0.640825034345613,0.000831673246809006,0.775,0.42
2,"index","linear",0.0339739578825807,0.876829779019537,-0.059161235759916,0.233719837334851,0.0604524356644155,0.640825034345613,0.0192525774479602,0.775,0.42
2,"index","flexible",0.0296391701659442,0.853426808044089,-0.0621741427889183,0.23240677876817,0.0450743863607233,0.640825034345613,0.485422750929509,0.775,0.42
2,"offindex","oracle",0.00458765941364631,1.0059554448427,-0.00669360504282436,0.212939269560425,0,0.718829563106876,0.21067154856369,NA,NA
2,"offindex","none",0.0555800760549021,1.66673461193173,-0.277583796352962,0.229521075920322,0.0976153318601022,0.684056058909786,5.61917087348317e-05,0.15,0.715
2,"offindex","linear",0.0232703005669409,0.915798489974116,0.033959527324447,0.22475537459686,0.0741121085342336,0.684056058909786,0.0406866236661668,0.15,0.715
2,"offindex","flexible",0.0165303114060831,0.882427773153136,0.0302401656098948,0.224380346763727,0.0735569167458326,0.683788404253017,0.65807676439365,0.15,0.715
3,"correct","oracle",0.00769297754403361,1.01409514847748,0.00910382826053756,0.218957560159585,0,0.70173967840914,0.698746150924771,NA,NA
3,"correct","none",0.0622519063043455,1.78970394490072,-0.123978925609106,0.225278009942406,0.0644845436365867,0.697219644747912,0.000259094875390431,0.42,0.17
3,"correct","linear",0.044678764222092,1.48951579072753,0.0938568347796467,0.222985857488546,0.0494576737709273,0.697219644747912,0.00356592474447521,0.42,0.17
3,"correct","flexible",0.0485692852408588,1.28134926091173,0.0833993258398636,0.224635919843105,0.0643899737349976,0.683117233324959,0.000242575244364377,0.42,0.17
3,"index","oracle",0.00863520066175772,0.966466983493519,0.0259060829550936,0.229212505842967,0,0.641544089351909,0.378485174049335,NA,NA
3,"index","none",0.0436809524285717,1.60205329863387,0.15020016921801,0.236407242194773,0.0549104758364462,0.634871709001095,0.790391953981211,0.115,0.22
3,"index","linear",0.043199626708267,1.30242408508633,0.1619970670706,0.235579464620555,0.0559420965307967,0.634871709001095,0.903273458092339,0.115,0.22
3,"index","flexible",0.0477581548733289,1.20136186815895,0.144472379385602,0.235208229930888,0.061001297362816,0.634871709001095,0.365448181448506,0.115,0.22
3,"offindex","oracle",0.0108361842417813,0.971395845084847,0.0236033357041571,0.213974634307102,0,0.714958151078839,0.237171445699593,NA,NA
3,"offindex","none",0.0546184978438262,1.72470082554265,-0.205139923163195,0.229464978529855,0.100758821237567,0.681027877780462,0.000113511676511276,0.46,0.17
3,"offindex","linear",0.041937488746861,1.09928442761351,0.14527655621879,0.226494757597912,0.0841252316024346,0.681027877780462,0.0628574076814707,0.46,0.17
3,"offindex","flexible",0.0316605248090034,1.08950342045915,0.144243687270171,0.225157320292022,0.0789200144745121,0.681027877780462,0.511333567406637,0.46,0.17
4,"correct","oracle",0.010407559454731,0.982876848270899,0.00100194170823679,0.219810433728864,0,0.699180256336008,0.36308680012859,NA,NA
4,"correct","none",0.0680237892365276,2.15762709893398,-0.0406099897371367,0.229323632479266,0.0827935070011617,0.689463608465523,0.000480885559481031,0.715,0.78
4,"correct","linear",0.0367686130735687,1.27126695601258,0.136478117464837,0.224102151352956,0.0521584008379304,0.689463608465523,0.51090131017591,0.715,0.78
