"case","recal","ece","slope","brier","mae_true","auc","hl_heldout_rej","sc_edge_rej","sc_hl_rej","design","R","B_boot","rel","gam_off","sd_eta"
"correct","oracle",0.00813458847339585,1.00105191644054,0.219382222175897,0,0.700536347354327,0.02,NA,NA,"A",200,199,0.7,0.555607775323564,0.793725393319377
"correct","none",0.0649511895636968,1.91833839897318,0.227064678896961,0.0728694484186628,0.694600253180836,0.96,0.025,0.045,"A",200,199,0.7,0.555607775323564,0.793725393319377
"correct","linear",0.0244996754036807,1.04511620255259,0.221949114669308,0.0393882066358148,0.694600253180836,0.215,0.025,0.045,"A",200,199,0.7,0.555607775323564,0.793725393319377
"correct","flexible",0.0324537776739662,0.969002909084036,0.22312328822643,0.0471730934467984,0.693176053500638,0.4,0.025,0.045,"A",200,199,0.7,0.555607775323564,0.793725393319377
"index","oracle",0.00821260755122279,1.00078716969229,0.228599836080972,0,0.644246901692313,0.045,NA,NA,"A",200,199,0.7,0.555607775323564,0.793725393319377
"index","none",0.0436138433321983,1.79625682045769,0.236255266782215,0.054436645783109,0.638576396366267,0.82,0.32,0.16,"A",200,199,0.7,0.555607775323564,0.793725393319377
"index","linear",0.041914134915034,1.03156571294219,0.234234941768808,0.0578609600462438,0.638576396366267,0.6,0.32,0.16,"A",200,199,0.7,0.555607775323564,0.793725393319377
"index","flexible",0.0322087371281228,0.929195961577303,0.233254092489538,0.0497631796000921,0.630094012456001,0.435,0.32,0.16,"A",200,199,0.7,0.555607775323564,0.793725393319377
"offindex","oracle",0.00833514827481722,1.001394041768,0.212687518158673,0,0.718943558355183,0.06,NA,NA,"A",200,199,0.7,0.555607775323564,0.793725393319377
"offindex","none",0.0644248650084864,1.88348398079048,0.230361971763921,0.103579731704674,0.680949552055513,0.945,0.265,0.1,"A",200,199,0.7,0.555607775323564,0.793725393319377
"offindex","linear",0.0332678997999312,1.02168195959764,0.225960743983081,0.0838102703654093,0.680949552055513,0.48,0.265,0.1,"A",200,199,0.7,0.555607775323564,0.793725393319377
"offindex","flexible",0.0321661661427289,0.946568838318592,0.226129572960349,0.0856869122580746,0.678251344455487,0.38,0.265,0.1,"A",200,199,0.7,0.555607775323564,0.793725393319377
