"case","recal","ece","slope","brier","mae_true","auc","hl_heldout_rej","sc_edge_rej","sc_hl_rej","design","R","B_boot","rel","gam_off","sd_eta"
"correct","oracle",0.00735150137514077,1.00088831872873,0.176731801869794,0,0.812528409243062,0.05,NA,NA,"B",200,199,0.7,0.860196836021004,1.50000578848122
"correct","none",0.0632119962036491,1.79220642762942,0.222163619166185,0.182206608178188,0.709590870981033,0.92,0.065,0.065,"B",200,199,0.7,0.860196836021004,1.50000578848122
"correct","linear",0.0255814312693317,0.985839430438999,0.217422277119641,0.164146546801516,0.709590870981033,0.275,0.065,0.065,"B",200,199,0.7,0.860196836021004,1.50000578848122
"correct","flexible",0.0353015018350119,0.916650010769032,0.218808402682383,0.166946541648384,0.708128343806907,0.45,0.065,0.065,"B",200,199,0.7,0.860196836021004,1.50000578848122
"index","oracle",0.00789100580409007,0.997768183444504,0.209360040568808,0,0.713280750005822,0.025,NA,NA,"B",200,199,0.7,0.860196836021004,1.50000578848122
"index","none",0.0322682793382058,1.42722040878977,0.236409344818783,0.120539312136269,0.638144424413011,0.38,0.03,0.075,"B",200,199,0.7,0.860196836021004,1.50000578848122
"index","linear",0.0298844250629348,1.04220779525363,0.236103114485044,0.125257037334584,0.638144424413011,0.3,0.03,0.075,"B",200,199,0.7,0.860196836021004,1.50000578848122
"index","flexible",0.0361422047945324,0.8932709039182,0.237555994642706,0.126687995244998,0.632177661581653,0.45,0.03,0.075,"B",200,199,0.7,0.860196836021004,1.50000578848122
"offindex","oracle",0.00686061910107127,0.999144565520092,0.16139064032077,0,0.836887326308639,0.075,NA,NA,"B",200,199,0.7,0.860196836021004,1.50000578848122
"offindex","none",0.0550014897061232,1.72449189546493,0.220288071658742,0.207144111293377,0.691460603200963,0.85,0.075,0.05,"B",200,199,0.7,0.860196836021004,1.50000578848122
"offindex","linear",0.0263403952367609,1.02057590246777,0.216927804483075,0.193667000359644,0.691460603200963,0.275,0.075,0.05,"B",200,199,0.7,0.860196836021004,1.50000578848122
"offindex","flexible",0.0353648120816448,0.928447026481629,0.21834449985805,0.195844866203554,0.689035157346473,0.53,0.075,0.05,"B",200,199,0.7,0.860196836021004,1.50000578848122
